﻿núm_corre,año_ocu,día_ocu,hora_ocu,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,g_hora
17,2023,1,8,Mañana,Enero,Domingo,Zacapa,Usumatlán,Ignorado,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Cabezal,Freightliner,Blanco,Ignorado,Ignorado,Colisión,2
18,2023,1,8,Mañana,Enero,Domingo,Zacapa,Usumatlán,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Mazda,Corinto,Ignorado,Ignorado,Colisión,2
19,2023,1,2,Mañana,Enero,Domingo,Escuintla,La Gomera,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,1
20,2023,1,14,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,3
21,2023,1,22,Noche,Enero,Domingo,Escuintla,Nueva Concepción,Ignorado,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Derrape,4
22,2023,1,3,Mañana,Enero,Domingo,Santa Rosa,Cuilapa,Ignorado,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Honda,Gris,2011,2010-2019,Colisión,1
23,2023,1,3,Mañana,Enero,Domingo,Santa Rosa,Cuilapa,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Hyundai,Blanco,2016,2010-2019,Colisión,1
24,2023,1,2,Mañana,Enero,Domingo,Santa Rosa,Barberena,Ignorado,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Asia Hero,Ignorado,2022,2020-2029,Colisión,1
25,2023,1,13,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,44,40-44,40-44,40 - 44,Ignorado,Mayor,Camioneta,Hyundai,Gris,2011,2010-2019,Colisión,3
26,2023,1,13,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Honda,Negro,Ignorado,Ignorado,Colisión,3
27,2023,1,15,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,51,50-54,50-54,50 - 54,Ignorado,Mayor,Automóvil,Hyundai,Rojo,Ignorado,Ignorado,Colisión,3
28,2023,1,15,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,40,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Nissan,Verde,1995,1990-1999,Colisión,3
29,2023,1,20,Noche,Enero,Domingo,Retalhuleu,Retalhuleu,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Cuatrimoto,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,4
30,2023,1,11,Mañana,Enero,Domingo,Quetzaltenango,Salcajá,Ignorado,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Suzuki,Azul,Ignorado,Ignorado,Colisión,2
31,2023,1,11,Mañana,Enero,Domingo,Quetzaltenango,Salcajá,Ignorado,Mujer,44,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Ignorado,Amarillo,Ignorado,Ignorado,Colisión,2
32,2023,1,15,Tarde,Enero,Domingo,San Marcos,Sibinal,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Pick up,Toyota,Rojo,Ignorado,Ignorado,Embarrancó,3
33,2023,1,21,Noche,Enero,Domingo,San Marcos,San Cristóbal Cucho,Ignorado,Hombre,50,50-54,50-54,50 - 54,Ignorado,Mayor,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Embarrancó,4
34,2023,1,16,Tarde,Enero,Domingo,Baja Verapaz,San Jerónimo,Ignorado,Hombre,25,25-29,25-29,25 - 29,No Ebrio,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,3
35,2023,1,11,Mañana,Enero,Domingo,El Progreso,Guastatoya,Ignorado,Hombre,28,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,Derrape,2
36,2023,1,17,Tarde,Enero,Domingo,Izabal,Puerto Barrios,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Cuatrimoto,Kawasaki,Verde,2003,2000-2009,Derrape,3
37,2023,1,3,Mañana,Enero,Domingo,Petén,Flores,Ignorado,Hombre,17,15-19,15-19,15 - 19,Ignorado,Menor,Motocicleta,Otros,Rojo,2020,2020-2029,Colisión,1
38,2023,1,3,Mañana,Enero,Domingo,Petén,Flores,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Camioneta,Ignorado,Negro,Ignorado,Ignorado,Colisión,1
39,2023,1,12,Tarde,Enero,Domingo,Chimaltenango,Zaragoza,Ignorado,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Hyundai,Gris,2001,2000-2009,Colisión,3
40,2023,1,12,Tarde,Enero,Domingo,Chimaltenango,Zaragoza,Ignorado,Hombre,28,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Asia Hero,Rojo,Ignorado,Ignorado,Colisión,3
41,2023,2,11,Mañana,Enero,Lunes,Guatemala,Guatemala,9,Mujer,32,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Honda,Gris,2011,2010-2019,Colisión,2
42,2023,2,11,Mañana,Enero,Lunes,Guatemala,Guatemala,9,Hombre,41,40-44,40-44,40 - 44,Ignorado,Mayor,Motocicleta,Suzuki,Azul,2018,2010-2019,Colisión,2
43,2023,2,20,Noche,Enero,Lunes,Guatemala,Guatemala,1,Hombre,36,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Benelli,Blanco,Ignorado,Ignorado,Choque,4
44,2023,2,7,Mañana,Enero,Lunes,Guatemala,San José Pinula,Ignorado,Hombre,22,20-24,20-24,20 - 24,No Ebrio,Mayor,Motocicleta,Bajaj,Blanco,2021,2020-2029,Colisión,2
45,2023,2,7,Mañana,Enero,Lunes,Guatemala,San José Pinula,Ignorado,Hombre,18,15-19,15-19,15 - 19,No Ebrio,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión,2
46,2023,2,6,Mañana,Enero,Lunes,Guatemala,Amatitlán,Ignorado,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,TVS Apache,Azul,Ignorado,Ignorado,Derrape,2
47,2023,2,19,Noche,Enero,Lunes,Escuintla,Tiquisate,Ignorado,Hombre,69,65-69,60 y más,65 - 69,Ignorado,Mayor,Pick up,Isuzu,Negro,Ignorado,Ignorado,Choque,4
48,2023,2,8,Mañana,Enero,Lunes,Suchitepéquez,San Bernardino,Ignorado,Mujer,40,40-44,40-44,40 - 44,Ignorado,Mayor,Motocicleta,Honda,Negro,2021,2020-2029,Colisión,2
49,2023,2,8,Mañana,Enero,Lunes,Suchitepéquez,San Bernardino,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Camión,Mercedes Benz,Blanco,1984,1980-1989,Colisión,2
50,2023,2,6,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorado,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Pick up,Mazda,Gris,Ignorado,Ignorado,Vuelco,2
51,2023,2,12,Tarde,Enero,Lunes,Huehuetenango,Huehuetenango,Ignorado,Hombre,33,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Mazda,Café,Ignorado,Ignorado,Colisión,3
52,2023,2,12,Tarde,Enero,Lunes,Huehuetenango,Huehuetenango,Ignorado,Hombre,26,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Suzuki,Azul,2019,2010-2019,Colisión,3
53,2023,2,7,Mañana,Enero,Lunes,Petén,Flores,Ignorado,Hombre,49,45-49,45-49,45 - 49,Ignorado,Mayor,Pick up,Toyota,Corinto,1984,1980-1989,Colisión,2
54,2023,2,7,Mañana,Enero,Lunes,Petén,Flores,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión,2
55,2023,2,20,Noche,Enero,Lunes,Chimaltenango,San Andrés Itzapa,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Italika,Negro,2016,2010-2019,Derrape,4
56,2023,2,22,Noche,Enero,Lunes,Guatemala,Guatemala,12,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Honda,Negro,2012,2010-2019,Derrape,4
57,2023,2,19,Noche,Enero,Lunes,Escuintla,Tiquisate,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Colisión,4
58,2023,2,19,Noche,Enero,Lunes,Escuintla,Tiquisate,Ignorado,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,Colisión,4
59,2023,3,3,Mañana,Enero,Martes,Guatemala,Guatemala,9,Hombre,59,55-59,55-59,55 - 59,Ignorado,Mayor,Automóvil,Hyundai,Gris,2013,2010-2019,Colisión,1
60,2023,3,3,Mañana,Enero,Martes,Guatemala,Guatemala,9,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Colisión,1
61,2023,3,11,Mañana,Enero,Martes,Guatemala,Guatemala,1,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Taxi,Ignorado,Blanco,Ignorado,Ignorado,Colisión,2
62,2023,3,11,Mañana,Enero,Martes,Guatemala,Guatemala,1,Mujer,44,40-44,40-44,40 - 44,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
63,2023,3,0,Mañana,Enero,Martes,Guatemala,Guatemala,10,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Automóvil,Volkswagen,Blanco,Ignorado,Ignorado,Colisión,1
64,2023,3,0,Mañana,Enero,Martes,Guatemala,Guatemala,10,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Toyota,Gris,1997,1990-1999,Colisión,1
65,2023,3,16,Tarde,Enero,Martes,Guatemala,Guatemala,12,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Suzuki,Negro,2021,2020-2029,Colisión,3
66,2023,3,16,Tarde,Enero,Martes,Guatemala,Guatemala,12,Mujer,43,40-44,40-44,40 - 44,Ignorado,Mayor,Automóvil,Mitsubishi,Corinto,2005,2000-2009,Colisión,3
67,2023,3,10,Mañana,Enero,Martes,Guatemala,Villa Canales,1,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Bus urbano,Internacional,Blanco,Ignorado,Ignorado,Colisión,2
68,2023,3,10,Mañana,Enero,Martes,Guatemala,Villa Canales,1,Hombre,52,50-54,50-54,50 - 54,Ignorado,Mayor,Motocicleta,Haojue,Negro,Ignorado,Ignorado,Colisión,2
69,2023,3,15,Tarde,Enero,Martes,Guatemala,Petapa,7,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Pick up,Ford,Corinto,2002,2000-2009,Colisión,3
70,2023,3,15,Tarde,Enero,Martes,Guatemala,Petapa,7,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Blanco,2020,2020-2029,Colisión,3
71,2023,3,19,Noche,Enero,Martes,Jutiapa,Moyuta,Ignorado,Hombre,19,15-19,15-19,15 - 19,Ignorado,Mayor,Motocicleta,Yamaha,Negro,2012,2010-2019,Colisión,4
72,2023,3,19,Noche,Enero,Martes,Jutiapa,Moyuta,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Honda,Blanco,Ignorado,Ignorado,Colisión,4
73,2023,3,13,Tarde,Enero,Martes,Chiquimula,San José la Arada,Ignorado,Mujer,44,40-44,40-44,40 - 44,Ignorado,Mayor,Microbús,Toyota,Blanco,2008,2000-2009,Vuelco,3
74,2023,3,9,Mañana,Enero,Martes,Zacapa,Estanzuela,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Pick up,Toyota,Azul,Ignorado,Ignorado,Embarrancó,2
75,2023,3,17,Tarde,Enero,Martes,Escuintla,Nueva Concepción,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Pick up,Nissan,Blanco,Ignorado,Ignorado,Colisión,3
76,2023,3,17,Tarde,Enero,Martes,Escuintla,Nueva Concepción,Ignorado,Hombre,51,50-54,50-54,50 - 54,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
77,2023,3,10,Mañana,Enero,Martes,Petén,Dolores,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape,2
78,2023,3,15,Tarde,Enero,Martes,Chimaltenango,San Andrés Itzapa,Ignorado,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Camión,Isuzu,Blanco,2022,2020-2029,Colisión,3
79,2023,3,15,Tarde,Enero,Martes,Chimaltenango,San Andrés Itzapa,Ignorado,Hombre,43,40-44,40-44,40 - 44,Ignorado,Mayor,Motocicleta,Asia Hero,Azul,2021,2020-2029,Colisión,3
80,2023,4,22,Noche,Enero,Miércoles,Guatemala,Guatemala,1,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Toyota,Blanco,2010,2010-2019,Colisión,4
81,2023,4,22,Noche,Enero,Miércoles,Guatemala,Guatemala,1,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Suzuki,Negro,2020,2020-2029,Colisión,4
82,2023,4,22,Noche,Enero,Miércoles,Guatemala,San José Pinula,4,Hombre,36,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Toyota,Gris,2002,2000-2009,Colisión,4
83,2023,4,22,Noche,Enero,Miércoles,Guatemala,San José Pinula,4,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Bajaj,Negro,2022,2020-2029,Colisión,4
84,2023,4,17,Tarde,Enero,Miércoles,Guatemala,Petapa,9,Hombre,28,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
85,2023,4,17,Tarde,Enero,Miércoles,Guatemala,Petapa,9,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
86,2023,4,23,Noche,Enero,Miércoles,Guatemala,Mixco,1,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,4
87,2023,4,14,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Bus urbano,Internacional,Azul,2002,2000-2009,Colisión,3
88,2023,4,14,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,Ignorado,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Microbús,Toyota,Azul,2002,2000-2009,Colisión,3
89,2023,4,14,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Pick up,Toyota,Negro,Ignorado,Ignorado,Colisión,3
90,2023,4,15,Tarde,Enero,Miércoles,Escuintla,Escuintla,Ignorado,Hombre,71,70-74,60 y más,70 - 74,Ignorado,Mayor,Camioneta,Toyota,Café,2016,2010-2019,Choque,3
91,2023,4,16,Tarde,Enero,Miércoles,Escuintla,San José,Ignorado,Hombre,62,60-64,60 y más,60 - 64,Ignorado,Mayor,Camioneta,Audi,Gris,Ignorado,Ignorado,Colisión,3
92,2023,4,16,Tarde,Enero,Miércoles,Escuintla,San José,Ignorado,Mujer,36,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Colisión,3
93,2023,4,23,Noche,Enero,Miércoles,Santa Rosa,Barberena,Ignorado,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Ignorado,Gris,2018,2010-2019,Colisión,4
94,2023,4,23,Noche,Enero,Miércoles,Santa Rosa,Barberena,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Kawasaki,Rojo,2009,2000-2009,Colisión,4
95,2023,4,13,Tarde,Enero,Miércoles,Santa Rosa,Guazacapán,Ignorado,Hombre,54,50-54,50-54,50 - 54,Ignorado,Mayor,Cabezal,Freightliner,Negro,Ignorado,Ignorado,Colisión,3
96,2023,4,13,Tarde,Enero,Miércoles,Santa Rosa,Guazacapán,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,2022,2020-2029,Colisión,3
97,2023,4,1,Mañana,Enero,Miércoles,Santa Rosa,Barberena,Ignorado,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Automóvil,Ignorado,Gris,2002,2000-2009,Colisión,1
98,2023,4,1,Mañana,Enero,Miércoles,Santa Rosa,Barberena,Ignorado,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Automóvil,Hyundai,Gris,2007,2000-2009,Colisión,1
99,2023,4,17,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,Ignorado,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Toyota,Verde,1994,1990-1999,Colisión,3
100,2023,4,17,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,Ignorado,Hombre,40,40-44,40-44,40 - 44,Ignorado,Mayor,Camioneta,Mazda,Rojo,2018,2010-2019,Colisión,3
101,2023,4,17,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Camioneta,Ford,Verde,2001,2000-2009,Colisión,3
102,2023,4,17,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,Ignorado,Hombre,63,60-64,60 y más,60 - 64,Ignorado,Mayor,Automóvil,Hyundai,Azul,2007,2000-2009,Colisión,3
103,2023,4,9,Mañana,Enero,Miércoles,Alta Verapaz,San Pedro Carchá,Ignorado,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Bus urbano,Toyota,Azul,2016,2010-2019,Vuelco,2
104,2023,4,6,Mañana,Enero,Miércoles,Izabal,Livingston,Ignorado,Hombre,57,55-59,55-59,55 - 59,Ignorado,Mayor,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión,2
105,2023,4,9,Mañana,Enero,Miércoles,Quiché,Santa Cruz del Quiché,5,Mujer,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Italika,Anaranjado,Ignorado,Ignorado,Colisión,2
106,2023,4,9,Mañana,Enero,Miércoles,Quiché,Santa Cruz del Quiché,5,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Italika,Negro,Ignorado,Ignorado,Colisión,2
107,2023,4,19,Noche,Enero,Miércoles,Sololá,Panajachel,Ignorado,Hombre,29,25-29,25-29,25 - 29,Ignorado,Mayor,Pick up,Toyota,Gris,Ignorado,Ignorado,Colisión,4
108,2023,4,19,Noche,Enero,Miércoles,Sololá,Panajachel,Ignorado,Hombre,45,45-49,45-49,45 - 49,Ignorado,Mayor,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión,4
109,2023,4,12,Tarde,Enero,Miércoles,Sacatepéquez,Santo Domingo Xenacoj,3,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Blanco,2020,2020-2029,Colisión,3
110,2023,4,12,Tarde,Enero,Miércoles,Sacatepéquez,Santo Domingo Xenacoj,3,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Mazda,Turquesa,1994,1990-1999,Colisión,3
111,2023,5,21,Noche,Enero,Jueves,Guatemala,Guatemala,1,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Yamaha,Negro,2015,2010-2019,Derrape,4
112,2023,5,13,Tarde,Enero,Jueves,Guatemala,Villa Nueva,4,Hombre,47,45-49,45-49,45 - 49,Ignorado,Mayor,Automóvil,Mazda,Blanco,Ignorado,Ignorado,Colisión,3
113,2023,5,13,Tarde,Enero,Jueves,Guatemala,Villa Nueva,4,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Honda,Blanco,Ignorado,Ignorado,Colisión,3
114,2023,5,15,Tarde,Enero,Jueves,Guatemala,Villa Nueva,Ignorado,Hombre,32,30-34,30-34,30 - 34,Ignorado,Mayor,Camioneta,Nissan,Negro,Ignorado,Ignorado,Vuelco,3
115,2023,5,7,Mañana,Enero,Jueves,Guatemala,Mixco,4,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Nissan,Gris,2012,2010-2019,Colisión,2
116,2023,5,7,Mañana,Enero,Jueves,Guatemala,Mixco,4,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Suzuki,Gris,2022,2020-2029,Colisión,2
117,2023,5,7,Mañana,Enero,Jueves,Guatemala,Guatemala,19,Mujer,39,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
118,2023,5,7,Mañana,Enero,Jueves,Guatemala,Guatemala,19,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
119,2023,5,9,Mañana,Enero,Jueves,Jutiapa,El Progreso,Ignorado,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Camioneta,Honda,Rojo,1999,1990-1999,Colisión,2
120,2023,5,9,Mañana,Enero,Jueves,Jutiapa,El Progreso,Ignorado,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
121,2023,5,6,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorado,Hombre,32,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
122,2023,5,6,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorado,Hombre,63,60-64,60 y más,60 - 64,Ignorado,Mayor,Motocicleta,TVS Apache,Rojo,Ignorado,Ignorado,Colisión,2
123,2023,5,9,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorado,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Haojue,Azul,Ignorado,Ignorado,Colisión,2
124,2023,5,9,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorado,Hombre,16,15-19,15-19,15 - 19,Ignorado,Menor,Motocicleta,Honda,Negro,Ignorado,Ignorado,Colisión,2
125,2023,5,20,Noche,Enero,Jueves,Escuintla,La Democracia,Ignorado,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión,4
126,2023,5,20,Noche,Enero,Jueves,Escuintla,La Democracia,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Cabezal,Freightliner,Corinto,2000,2000-2009,Colisión,4
