núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,tipo_veh,marca_veh,int_o_noint
58,2019,1,1,1,1,1,2,12,1227,99,1,32,5,5,7,1,4,9999,99,1,2,3,69,1
59,2019,1,1,1,1,1,2,12,1227,99,1,30,5,5,7,1,4,9999,99,1,2,3,69,1
60,2019,1,1,1,1,1,2,12,1227,99,1,7,1,1,2,2,4,9999,99,1,2,3,69,1
61,2019,1,3,1,1,1,2,12,1230,99,1,25,4,4,6,1,99,9999,99,6,1,4,999,2
62,2019,1,19,4,3,1,2,8,801,99,1,30,5,5,7,1,4,9999,99,1,2,3,69,1
63,2019,1,19,4,3,1,2,8,801,99,1,30,5,5,7,1,5,9999,99,1,2,3,69,1
64,2019,1,16,3,2,1,2,15,1502,99,1,40,7,7,9,1,3,2012,5,1,2,4,76,1
65,2019,1,16,3,2,1,2,15,1502,99,1,17,2,2,4,2,3,2014,5,1,2,4,67,1
66,2019,1,16,3,2,1,2,15,1502,99,2,999,16,12,18,1,3,2012,5,1,2,4,76,1
67,2019,1,4,1,1,1,2,18,1801,99,1,22,3,3,5,1,4,9999,99,4,2,4,6,1
68,2019,1,4,1,1,1,2,18,1801,99,1,20,3,3,5,1,4,9999,99,4,2,4,6,1
69,2019,1,8,2,1,1,2,18,1801,99,2,35,6,6,8,1,2,2006,4,1,2,1,69,2
70,2019,1,8,2,1,1,2,18,1801,99,1,22,3,3,5,1,99,9999,99,1,2,4,999,1
71,2019,1,8,2,1,1,2,18,1801,99,1,27,4,4,6,1,99,9999,99,1,2,4,999,1
72,2019,1,11,2,1,1,2,17,1705,99,1,35,6,6,8,1,99,9999,99,6,1,4,999,2
73,2019,1,0,1,1,1,2,17,1708,99,1,16,2,2,4,2,5,9999,99,1,1,4,27,2
74,2019,1,18,4,3,1,2,17,1701,99,1,24,3,3,5,1,5,9999,99,1,2,4,67,1
75,2019,1,18,4,3,1,2,17,1701,99,1,24,3,3,5,1,5,9999,99,1,2,4,32,1
76,2019,1,18,4,3,1,2,14,1406,99,1,22,3,3,5,1,99,9999,99,4,2,4,2,1
77,2019,1,21,4,3,1,2,7,701,99,1,69,12,11,14,1,99,9999,99,3,2,1,999,1
78,2019,1,21,4,3,1,2,7,701,99,2,73,13,11,15,1,99,9999,99,3,2,1,999,1
79,2019,1,5,1,1,1,2,4,409,99,1,23,3,3,5,1,3,9999,99,6,1,4,999,2
80,2019,1,0,1,1,1,2,3,301,99,1,27,4,4,6,1,5,9999,99,6,1,4,999,2
81,2019,2,6,2,1,1,3,1,108,99,2,22,3,3,5,1,5,2017,5,1,2,4,39,1
82,2019,2,19,4,3,1,3,22,2201,99,1,20,3,3,5,1,3,9999,99,1,2,4,76,1
83,2019,2,19,4,3,1,3,22,2201,99,1,55,10,10,12,1,1,2012,5,1,2,4,77,1
84,2019,2,20,4,3,1,3,22,2210,99,1,18,2,2,4,1,5,9999,99,1,2,4,999,1
85,2019,2,20,4,3,1,3,22,2210,99,2,24,3,3,5,1,5,9999,99,1,2,4,999,1
86,2019,2,16,3,2,1,3,21,2104,99,1,26,4,4,6,1,1,2003,4,1,2,14,6,1
87,2019,2,9,2,1,1,3,5,501,99,1,58,10,10,12,1,99,9999,99,1,1,4,999,2
88,2019,2,5,1,1,1,3,5,501,99,2,48,8,8,10,1,5,9999,99,1,2,4,32,1
89,2019,2,14,3,2,1,3,5,501,99,1,64,11,11,13,1,5,9999,99,1,2,4,32,1
90,2019,2,0,1,1,1,3,5,501,99,1,19,2,2,4,1,4,9999,99,2,2,1,48,1
91,2019,2,19,4,3,1,3,6,601,99,1,4,1,1,1,2,4,9999,99,1,2,18,999,1
92,2019,2,19,4,3,1,3,6,601,99,1,7,1,1,2,2,4,9999,99,1,2,18,999,1
93,2019,2,19,4,3,1,3,6,601,99,1,4,1,1,1,2,4,9999,99,1,2,18,999,1
94,2019,2,9,2,1,1,3,16,1605,99,1,58,10,10,12,1,3,2011,5,1,2,2,52,1
95,2019,2,9,2,1,1,3,16,1605,99,2,57,10,10,12,1,3,2011,5,1,2,2,52,1
96,2019,2,9,2,1,1,3,16,1605,99,1,40,7,7,9,1,2,2018,5,1,2,5,999,1
97,2019,2,18,4,3,1,3,15,1501,99,1,22,3,3,5,1,99,9999,99,1,1,4,999,2
98,2019,2,18,4,3,1,3,15,1501,99,1,23,3,3,5,1,99,9999,99,1,2,4,999,1
99,2019,2,18,4,3,1,3,15,1501,99,1,26,4,4,6,1,99,9999,99,1,1,4,999,2
100,2019,2,18,4,3,1,3,15,1501,99,2,21,3,3,5,1,99,9999,99,1,2,4,999,1
101,2019,2,19,4,3,1,3,15,1501,99,1,35,6,6,8,1,99,9999,99,1,2,4,999,1
102,2019,2,19,4,3,1,3,15,1501,99,1,24,3,3,5,1,99,9999,99,1,2,4,999,1
103,2019,3,8,2,1,1,4,1,101,9,1,42,7,7,9,1,5,9999,99,1,2,4,72,1
104,2019,3,21,4,3,1,4,1,115,99,1,25,4,4,6,1,8,2007,4,1,2,1,27,1
105,2019,3,21,4,3,1,4,1,115,99,2,39,6,6,8,1,8,2007,4,1,2,1,27,1
106,2019,3,21,4,3,1,4,1,115,99,2,1,1,1,1,2,8,2007,4,1,2,1,27,1
107,2019,3,15,3,2,1,4,22,2216,99,1,34,5,5,7,1,99,9999,99,3,1,12,999,2
108,2019,3,17,3,2,1,4,5,509,99,1,28,4,4,6,1,1,9999,99,1,2,4,137,1
109,2019,3,17,3,2,1,4,5,509,99,1,39,6,6,8,1,5,9999,99,1,2,4,67,1
110,2019,3,18,4,3,1,4,5,501,99,1,22,3,3,5,1,99,9999,99,1,2,4,999,1
111,2019,3,18,4,3,1,4,5,501,99,2,22,3,3,5,1,99,9999,99,1,2,4,999,1
112,2019,3,19,4,3,1,4,5,501,99,1,24,3,3,5,1,99,9999,99,6,2,4,999,1
113,2019,3,21,4,3,1,4,6,608,99,1,21,3,3,5,1,2,9999,99,6,2,4,54,1
