﻿﻿núm_corre,año_ocu,día_ocu,hora_ocu,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,g_hora
1,2023,1,15,Tarde,Enero,Domingo,Guatemala,Palencia,Ignorada,Pick up,Nissan,Negro,2017,2010-2019,Colisión,3
2,2023,1,15,Tarde,Enero,Domingo,Guatemala,Guatemala,18,Pick up,Nissan,Gris,1986,1980-1989,Colisión,3
3,2023,1,20,Noche,Enero,Domingo,Guatemala,Guatemala,6,Motocicleta,Bajaj,Negro,2021,2020-2029,Derrape,4
4,2023,1,15,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Motocicleta,Suzuki,Gris,2021,2020-2029,Choque,3
5,2023,1,23,Noche,Enero,Domingo,Guatemala,Guatemala,13,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Derrape,4
6,2023,1,23,Noche,Enero,Domingo,Guatemala,Guatemala,12,Automóvil,Toyota,Blanco,2009,2000-2009,Colisión,4
7,2023,1,10,Mañana,Enero,Domingo,Guatemala,Guatemala,12,Camioneta,Honda,Gris,2018,2010-2019,Colisión,2
8,2023,1,17,Tarde,Enero,Domingo,Guatemala,Villa Canales,Ignorada,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Choque,3
9,2023,1,10,Mañana,Enero,Domingo,Guatemala,Villa Canales,Ignorada,Motocicleta,Asia Hero,Azul,Ignorado,Ignorado,Choque,2
10,2023,1,0,Mañana,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Haojue,Azul,2019,2010-2019,Choque,1
11,2023,1,23,Noche,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,4
12,2023,1,1,Mañana,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,1
13,2023,1,8,Mañana,Enero,Domingo,Zacapa,Usumatlán,Ignorada,Cabezal,Freightliner,Blanco,Ignorado,Ignorado,Colisión,2
14,2023,1,2,Mañana,Enero,Domingo,Escuintla,La Gomera,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,1
15,2023,1,14,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,3
16,2023,1,22,Noche,Enero,Domingo,Escuintla,Nueva Concepción,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Derrape,4
17,2023,1,3,Mañana,Enero,Domingo,Santa Rosa,Cuilapa,Ignorada,Camioneta,Honda,Gris,2011,2010-2019,Colisión,1
18,2023,1,2,Mañana,Enero,Domingo,Santa Rosa,Barberena,Ignorada,Motocicleta,Asia Hero,Ignorado,2022,2020-2029,Colisión,1
19,2023,1,13,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorada,Camioneta,Hyundai,Gris,2011,2010-2019,Colisión,3
20,2023,1,15,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorada,Automóvil,Hyundai,Rojo,Ignorado,Ignorado,Colisión,3
21,2023,1,20,Noche,Enero,Domingo,Retalhuleu,Retalhuleu,Ignorada,Cuatrimoto,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,4
22,2023,1,11,Mañana,Enero,Domingo,Quetzaltenango,Salcajá,Ignorada,Camioneta,Suzuki,Azul,Ignorado,Ignorado,Colisión,2
23,2023,1,15,Tarde,Enero,Domingo,San Marcos,Sibinal,Ignorada,Pick up,Toyota,Rojo,Ignorado,Ignorado,Embarrancó,3
24,2023,1,21,Noche,Enero,Domingo,San Marcos,San Cristóbal Cucho,Ignorada,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Embarrancó,4
25,2023,1,16,Tarde,Enero,Domingo,Baja Verapaz,San Jerónimo,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,3
26,2023,1,11,Mañana,Enero,Domingo,El Progreso,Guastatoya,Ignorada,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,Derrape,2
27,2023,1,17,Tarde,Enero,Domingo,Izabal,Puerto Barrios,Ignorada,Cuatrimoto,Kawasaki,Verde,2003,2000-2009,Derrape,3
28,2023,1,3,Mañana,Enero,Domingo,Petén,Flores,Ignorada,Motocicleta,Otros,Rojo,2020,2020-2029,Colisión,1
29,2023,1,12,Tarde,Enero,Domingo,Chimaltenango,Zaragoza,Ignorada,Camioneta,Hyundai,Gris,2001,2000-2009,Colisión,3
30,2023,2,11,Mañana,Enero,Lunes,Guatemala,Guatemala,9,Automóvil,Honda,Gris,2011,2010-2019,Colisión,2
31,2023,2,20,Noche,Enero,Lunes,Guatemala,Guatemala,1,Motocicleta,Benelli,Blanco,Ignorado,Ignorado,Choque,4
32,2023,2,7,Mañana,Enero,Lunes,Guatemala,San José Pinula,Ignorada,Motocicleta,Bajaj,Blanco,2021,2020-2029,Colisión,2
33,2023,2,6,Mañana,Enero,Lunes,Guatemala,Amatitlán,Ignorada,Motocicleta,TVS Apache,Azul,Ignorado,Ignorado,Derrape,2
34,2023,2,19,Noche,Enero,Lunes,Escuintla,Tiquisate,Ignorada,Pick up,Isuzu,Negro,Ignorado,Ignorado,Choque,4
35,2023,2,8,Mañana,Enero,Lunes,Suchitepéquez,San Bernardino,Ignorada,Motocicleta,Honda,Negro,2021,2020-2029,Colisión,2
36,2023,2,6,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorada,Pick up,Mazda,Gris,Ignorado,Ignorado,Vuelco,2
37,2023,2,12,Tarde,Enero,Lunes,Huehuetenango,Huehuetenango,Ignorada,Automóvil,Mazda,Café,Ignorado,Ignorado,Colisión,3
38,2023,2,7,Mañana,Enero,Lunes,Petén,Flores,Ignorada,Pick up,Toyota,Corinto,1984,1980-1989,Colisión,2
39,2023,2,20,Noche,Enero,Lunes,Chimaltenango,San Andrés Itzapa,Ignorada,Motocicleta,Italika,Negro,2016,2010-2019,Derrape,4
40,2023,2,22,Noche,Enero,Lunes,Guatemala,Guatemala,12,Motocicleta,Honda,Negro,2012,2010-2019,Derrape,4
41,2023,2,19,Noche,Enero,Lunes,Escuintla,Tiquisate,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Colisión,4
42,2023,3,3,Mañana,Enero,Martes,Guatemala,Guatemala,9,Automóvil,Hyundai,Gris,2013,2010-2019,Colisión,1
43,2023,3,11,Mañana,Enero,Martes,Guatemala,Guatemala,1,Taxi,Ignorado,Blanco,Ignorado,Ignorado,Colisión,2
44,2023,3,0,Mañana,Enero,Martes,Guatemala,Guatemala,10,Automóvil,Volkswagen,Blanco,Ignorado,Ignorado,Colisión,1
45,2023,3,16,Tarde,Enero,Martes,Guatemala,Guatemala,12,Motocicleta,Suzuki,Negro,2021,2020-2029,Colisión,3
46,2023,3,10,Mañana,Enero,Martes,Guatemala,Villa Canales,1,Bus urbano,Internacional,Blanco,Ignorado,Ignorado,Colisión,2
47,2023,3,15,Tarde,Enero,Martes,Guatemala,Petapa,7,Pick up,Ford,Corinto,2002,2000-2009,Colisión,3
48,2023,3,19,Noche,Enero,Martes,Jutiapa,Moyuta,Ignorada,Motocicleta,Yamaha,Negro,2012,2010-2019,Colisión,4
49,2023,3,13,Tarde,Enero,Martes,Chiquimula,San José la Arada,Ignorada,Microbús,Toyota,Blanco,2008,2000-2009,Vuelco,3
50,2023,3,9,Mañana,Enero,Martes,Zacapa,Estanzuela,Ignorada,Pick up,Toyota,Azul,Ignorado,Ignorado,Embarrancó,2
51,2023,3,17,Tarde,Enero,Martes,Escuintla,Nueva Concepción,Ignorada,Pick up,Nissan,Blanco,Ignorado,Ignorado,Colisión,3
52,2023,3,10,Mañana,Enero,Martes,Petén,Dolores,Ignorada,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape,2
53,2023,3,15,Tarde,Enero,Martes,Chimaltenango,San Andrés Itzapa,Ignorada,Camión,Isuzu,Blanco,2022,2020-2029,Colisión,3
54,2023,4,22,Noche,Enero,Miércoles,Guatemala,Guatemala,1,Automóvil,Toyota,Blanco,2010,2010-2019,Colisión,4
55,2023,4,22,Noche,Enero,Miércoles,Guatemala,San José Pinula,4,Camioneta,Toyota,Gris,2002,2000-2009,Colisión,4
56,2023,4,17,Tarde,Enero,Miércoles,Guatemala,Petapa,9,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
57,2023,4,23,Noche,Enero,Miércoles,Guatemala,Mixco,1,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,4
58,2023,4,14,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,Ignorada,Bus urbano,Internacional,Azul,2002,2000-2009,Colisión,3
59,2023,4,15,Tarde,Enero,Miércoles,Escuintla,Escuintla,Ignorada,Camioneta,Toyota,Café,2016,2010-2019,Choque,3
60,2023,4,16,Tarde,Enero,Miércoles,Escuintla,San José,Ignorada,Camioneta,Audi,Gris,Ignorado,Ignorado,Colisión,3
61,2023,4,23,Noche,Enero,Miércoles,Santa Rosa,Barberena,Ignorada,Pick up,Ignorado,Gris,2018,2010-2019,Colisión,4
62,2023,4,13,Tarde,Enero,Miércoles,Santa Rosa,Guazacapán,Ignorada,Cabezal,Freightliner,Negro,Ignorado,Ignorado,Colisión,3
63,2023,4,1,Mañana,Enero,Miércoles,Santa Rosa,Barberena,Ignorada,Automóvil,Ignorado,Gris,2002,2000-2009,Colisión,1
64,2023,4,17,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,Ignorada,Pick up,Toyota,Verde,1994,1990-1999,Colisión,3
65,2023,4,9,Mañana,Enero,Miércoles,Alta Verapaz,San Pedro Carchá,Ignorada,Bus urbano,Toyota,Azul,2016,2010-2019,Vuelco,2
66,2023,4,6,Mañana,Enero,Miércoles,Izabal,Livingston,Ignorada,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión,2
67,2023,4,9,Mañana,Enero,Miércoles,Quiché,Santa Cruz del Quiché,5,Motocicleta,Italika,Anaranjado,Ignorado,Ignorado,Colisión,2
68,2023,4,19,Noche,Enero,Miércoles,Sololá,Panajachel,Ignorada,Pick up,Toyota,Gris,Ignorado,Ignorado,Colisión,4
69,2023,4,12,Tarde,Enero,Miércoles,Sacatepequez,Santo Domingo Xenacoj,3,Motocicleta,Bajaj,Blanco,2020,2020-2029,Colisión,3
70,2023,5,21,Noche,Enero,Jueves,Guatemala,Guatemala,1,Motocicleta,Yamaha,Negro,2015,2010-2019,Derrape,4
71,2023,5,13,Tarde,Enero,Jueves,Guatemala,Villa Nueva,4,Automóvil,Mazda,Blanco,Ignorado,Ignorado,Colisión,3
72,2023,5,15,Tarde,Enero,Jueves,Guatemala,Villa Nueva,Ignorada,Camioneta,Nissan,Negro,Ignorado,Ignorado,Vuelco,3
73,2023,5,7,Mañana,Enero,Jueves,Guatemala,Mixco,4,Camioneta,Nissan,Gris,2012,2010-2019,Colisión,2
74,2023,5,7,Mañana,Enero,Jueves,Guatemala,Guatemala,19,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
75,2023,5,9,Mañana,Enero,Jueves,Jutiapa,El Progreso,Ignorada,Camioneta,Honda,Rojo,1999,1990-1999,Colisión,2
76,2023,5,6,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorada,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
77,2023,5,9,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorada,Motocicleta,Haojue,Azul,Ignorado,Ignorado,Colisión,2
78,2023,5,20,Noche,Enero,Jueves,Escuintla,La Democracia,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión,4
79,2023,5,3,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorada,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,1
80,2023,5,7,Mañana,Enero,Jueves,Quetzaltenango,Coatepeque,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Colisión,2
81,2023,5,11,Mañana,Enero,Jueves,Huehuetenango,Huehuetenango,1,Camioneta,Toyota,Rojo,Ignorado,Ignorado,Colisión,2
82,2023,5,16,Tarde,Enero,Jueves,Alta Verapaz,Cobán,Ignorada,Motocicleta,Otros,Blanco,2021,2020-2029,Colisión,3
83,2023,6,1,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Cabezal,Freightliner,Rojo,2013,2010-2019,Colisión,1
84,2023,6,1,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,1
85,2023,6,7,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
86,2023,6,2,Mañana,Enero,Viernes,Guatemala,Guatemala,11,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,1
87,2023,6,6,Mañana,Enero,Viernes,Guatemala,Guatemala,21,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
88,2023,6,20,Noche,Enero,Viernes,Guatemala,Villa Nueva,Ignorada,Automóvil,Ford,Beige,2005,2000-2009,Colisión,4
89,2023,6,23,Noche,Enero,Viernes,Jutiapa,Asunción Mita,Ignorada,Motocicleta,Freedom,Negro,Ignorado,Ignorado,Derrape,4
90,2023,6,23,Noche,Enero,Viernes,Jutiapa,Asunción Mita,Ignorada,Motocicleta,Freedom,Negro,Ignorado,Ignorado,Derrape,4
91,2023,6,18,Noche,Enero,Viernes,Escuintla,Escuintla,Ignorada,Automóvil,Mitsubishi,Corinto,2006,2000-2009,Colisión,4
92,2023,6,8,Mañana,Enero,Viernes,San Marcos,El Tumbador,Ignorada,Camión,Peter Bilt,Morado,1998,1990-1999,Colisión,2
93,2023,6,12,Tarde,Enero,Viernes,Huehuetenango,Cuilco,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
94,2023,6,0,Mañana,Enero,Viernes,Alta Verapaz,Panzós,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,1
95,2023,6,16,Tarde,Enero,Viernes,Petén,San Benito,Ignorada,Motocicleta,Bajaj,Rojo,2010,2010-2019,Colisión,3
96,2023,6,22,Noche,Enero,Viernes,Sacatepequez,Antigua Guatemala,Ignorada,Automóvil,Honda,Gris,2014,2010-2019,Colisión,4
97,2023,7,5,Mañana,Enero,Sábado,Guatemala,Guatemala,17,Motocicleta,Ignorado,Azul,Ignorado,Ignorado,Colisión,1
98,2023,7,6,Mañana,Enero,Sábado,Guatemala,Fraijanes,Ignorada,Motocicleta,Asia Hero,Azul,2023,2020-2029,Derrape,2
99,2023,7,18,Noche,Enero,Sábado,Guatemala,Guatemala,5,Motocicleta,Bajaj,Gris,Ignorado,Ignorado,Derrape,4
100,2023,7,4,Mañana,Enero,Sábado,Guatemala,Guatemala,12,Cabezal,Freightliner,Azul,2002,2000-2009,Colisión,1
101,2023,7,18,Noche,Enero,Sábado,Guatemala,Guatemala,11,Motocicleta,Italika,Ignorado,2021,2020-2029,Derrape,4
102,2023,7,1,Mañana,Enero,Sábado,Guatemala,Villa Nueva,2,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Colisión,1
103,2023,7,1,Mañana,Enero,Sábado,Guatemala,Villa Nueva,Ignorada,Automóvil,Ford,Corinto,Ignorado,Ignorado,Colisión,1
104,2023,7,17,Tarde,Enero,Sábado,Guatemala,Villa Nueva,Ignorada,Motocicleta,Honda,Anaranjado,Ignorado,Ignorado,Colisión,3
105,2023,7,20,Noche,Enero,Sábado,Guatemala,Villa Canales,Ignorada,Automóvil,Hyundai,Gris,2022,2020-2029,Colisión,4
106,2023,7,21,Noche,Enero,Sábado,Guatemala,Mixco,8,Camioneta,Hyundai,Azul,2016,2010-2019,Colisión,4
107,2023,7,20,Noche,Enero,Sábado,Jutiapa,Jalpatagua,Ignorada,Motocicleta,Freedom,Rojo,2022,2020-2029,Colisión,4
108,2023,7,18,Noche,Enero,Sábado,Jalapa,Jalapa,Ignorada,Motocicleta,Italika,Ignorado,2021,2020-2029,Colisión,4
109,2023,7,6,Mañana,Enero,Sábado,Jalapa,Jalapa,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
110,2023,7,9,Mañana,Enero,Sábado,Escuintla,Escuintla,Ignorada,Pick up,Toyota,Beige,2001,2000-2009,Colisión,2
111,2023,7,15,Tarde,Enero,Sábado,Escuintla,Escuintla,Ignorada,Motocicleta,Bajaj,Ignorado,2022,2020-2029,Derrape,3
112,2023,7,21,Noche,Enero,Sábado,Escuintla,Escuintla,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,4
113,2023,7,9,Mañana,Enero,Sábado,Santa Rosa,Guazacapán,Ignorada,Camión,Ignorado,Blanco,1995,1990-1999,Colisión,2
114,2023,7,18,Noche,Enero,Sábado,Santa Rosa,Santa Rosa de Lima,Ignorada,Pick up,Toyota,Blanco,Ignorado,Ignorado,Colisión,4
115,2023,7,0,Mañana,Enero,Sábado,Suchitepéquez,Chicacao,1,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Colisión,1
116,2023,7,15,Tarde,Enero,Sábado,Retalhuleu,Champerico,Ignorada,Motocicleta,Freedom,Negro,2016,2010-2019,Derrape,3
117,2023,7,15,Tarde,Enero,Sábado,Retalhuleu,Retalhuleu,Ignorada,Camioneta,Hyundai,Negro,Ignorado,Ignorado,Colisión,3
118,2023,7,0,Mañana,Enero,Sábado,Retalhuleu,Retalhuleu,Ignorada,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión,1
119,2023,7,1,Mañana,Enero,Sábado,Alta Verapaz,Cobán,Ignorada,Automóvil,Audi,Negro,2009,2000-2009,Colisión,1
120,2023,7,19,Noche,Enero,Sábado,Alta Verapaz,Santa Cruz Verapaz,Ignorada,Pick up,Ignorado,Blanco,Ignorado,Ignorado,Colisión,4
121,2023,7,23,Noche,Enero,Sábado,Alta Verapaz,Cobán,Ignorada,Camión,Nissan,Blanco,Ignorado,Ignorado,Colisión,4
122,2023,8,4,Mañana,Enero,Domingo,Guatemala,Guatemala,13,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,1
123,2023,8,2,Mañana,Enero,Domingo,Guatemala,Petapa,7,Ignorado,Hyundai,Gris,Ignorado,Ignorado,Colisión,1
124,2023,8,4,Mañana,Enero,Domingo,Guatemala,Mixco,8,Automóvil,Toyota,Blanco,2007,2000-2009,Colisión,1
125,2023,8,2,Mañana,Enero,Domingo,Izabal,Morales,Ignorada,Camioneta,Honda,Negro,2013,2010-2019,Colisión,1
126,2023,8,19,Noche,Enero,Domingo,Zacapa,Río Hondo,Ignorada,Bus urbano,Internacional,Rojo,Ignorado,Ignorado,Colisión,4
127,2023,8,8,Mañana,Enero,Domingo,San Marcos,San Pablo,Ignorada,Automóvil,Mazda,Blanco,2014,2010-2019,Colisión,2
128,2023,8,11,Mañana,Enero,Domingo,Quiché,Sacapulas,Ignorada,Cuatrimoto,Bajaj,Rojo,Ignorado,Ignorado,Colisión,2
129,2023,8,15,Tarde,Enero,Domingo,Santa Rosa,Cuilapa,Ignorada,Camión,Ignorado,Blanco,1997,1990-1999,Colisión,3
130,2023,8,17,Tarde,Enero,Domingo,Santa Rosa,Barberena,Ignorada,Camioneta,Subaru,Corinto,Ignorado,Ignorado,Colisión,3
131,2023,8,20,Noche,Enero,Domingo,Santa Rosa,Cuilapa,Ignorada,Automóvil,Toyota,Azul,2007,2000-2009,Colisión,4
132,2023,8,6,Mañana,Enero,Domingo,Santa Rosa,Taxisco,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,2
133,2023,8,16,Tarde,Enero,Domingo,Huehuetenango,Huehuetenango,Ignorada,Motocicleta,Serpento,Rojo,Ignorado,Ignorado,Derrape,3
134,2023,8,18,Noche,Enero,Domingo,Guatemala,Guatemala,12,Motocicleta,Suzuki,Rojo,2015,2010-2019,Colisión,4
135,2023,8,19,Noche,Enero,Domingo,Guatemala,Guatemala,7,Pick up,Toyota,Gris,1988,1980-1989,Choque,4
136,2023,8,18,Noche,Enero,Domingo,Guatemala,Guatemala,12,Motocicleta,Bajaj,Negro,2022,2020-2029,Colisión,4
137,2023,8,16,Tarde,Enero,Domingo,Guatemala,Villa Canales,Ignorada,Pick up,Toyota,Verde,Ignorado,Ignorado,Choque,3
138,2023,8,19,Noche,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,4
139,2023,8,4,Mañana,Enero,Domingo,Escuintla,Palín,Ignorada,Cabezal,Ignorado,Ignorado,Ignorado,Ignorado,Choque,1
140,2023,8,12,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorada,Pick up,Mazda,Blanco,Ignorado,Ignorado,Colisión,3
141,2023,8,17,Tarde,Enero,Domingo,Escuintla,San José,Ignorada,Pick up,Toyota,Café,1989,1980-1989,Choque,3
142,2023,8,20,Noche,Enero,Domingo,Escuintla,Iztapa,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión,4
143,2023,8,14,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorada,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Choque,3
144,2023,8,18,Noche,Enero,Domingo,Retalhuleu,Champerico,Ignorada,Automóvil,Nissan,Beige,Ignorado,Ignorado,Colisión,4
145,2023,8,17,Tarde,Enero,Domingo,Chiquimula,Chiquimula,Ignorada,Pick up,Toyota,Ignorado,Ignorado,Ignorado,Colisión,3
146,2023,8,22,Noche,Enero,Domingo,Petén,Melchor de Mencos,Ignorada,Motocicleta,Honda,Rojo,Ignorado,Ignorado,Colisión,4
147,2023,8,19,Noche,Enero,Domingo,Guatemala,Petapa,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,4
148,2023,8,7,Mañana,Enero,Domingo,Chiquimula,Chiquimula,Ignorada,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Colisión,2
149,2023,8,13,Tarde,Enero,Domingo,Santa Rosa,San Rafael las Flores,Ignorada,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Embarrancó,3
150,2023,9,8,Mañana,Enero,Lunes,Guatemala,Guatemala,1,Motocicleta,Italika,Azul,Ignorado,Ignorado,Colisión,2
151,2023,9,20,Noche,Enero,Lunes,Guatemala,Guatemala,12,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,4
152,2023,9,7,Mañana,Enero,Lunes,Guatemala,Amatitlán,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
153,2023,9,7,Mañana,Enero,Lunes,Guatemala,Mixco,7,Motocicleta,Italika,Rojo,2021,2020-2029,Colisión,2
154,2023,9,8,Mañana,Enero,Lunes,Jalapa,San Pedro Pinula,Ignorada,Cabezal,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
155,2023,9,16,Tarde,Enero,Lunes,Escuintla,Palín,Ignorada,Cabezal,Ignorado,Negro,Ignorado,Ignorado,Embarrancó,3
156,2023,9,20,Noche,Enero,Lunes,Escuintla,La Gomera,Ignorada,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Derrape,4
157,2023,9,9,Mañana,Enero,Lunes,San Marcos,Ayutla,Ignorada,Automóvil,Toyota,Rojo,Ignorado,Ignorado,Colisión,2
158,2023,9,15,Tarde,Enero,Lunes,Alta Verapaz,Cobán,Ignorada,Pick up,Toyota,Gris,2013,2010-2019,Colisión,3
159,2023,9,13,Tarde,Enero,Lunes,El Progreso,Guastatoya,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
160,2023,9,5,Mañana,Enero,Lunes,Izabal,Livingston,Ignorada,Camión,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,1
161,2023,9,21,Noche,Enero,Lunes,Petén,Sayaxché,Ignorada,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,4
162,2023,9,0,Mañana,Enero,Lunes,Chimaltenango,San Martín Jilotepeque,3,Motocicleta,Bajaj,Rojo,2021,2020-2029,Colisión,1
163,2023,9,6,Mañana,Enero,Lunes,Sacatepequez,Antigua Guatemala,Ignorada,Camioneta,Mitsubishi,Gris,Ignorado,Ignorado,Colisión,2
164,2023,9,19,Noche,Enero,Lunes,Sacatepequez,Antigua Guatemala,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,4
165,2023,10,12,Tarde,Enero,Martes,Guatemala,Guatemala,1,Automóvil,Honda,Gris,2016,2010-2019,Colisión,3
166,2023,10,17,Tarde,Enero,Martes,Guatemala,Guatemala,3,Automóvil,Hyundai,Azul,2003,2000-2009,Colisión,3
167,2023,10,2,Mañana,Enero,Martes,Guatemala,Guatemala,6,Pick up,Isuzu,Verde,1993,1990-1999,Colisión,1
168,2023,10,21,Noche,Enero,Martes,Guatemala,Palencia,Ignorada,Pick up,Isuzu,Blanco,1995,1990-1999,Colisión,4
169,2023,10,7,Mañana,Enero,Martes,Guatemala,Guatemala,5,Camioneta,Mazda,Negro,2013,2010-2019,Colisión,2
170,2023,10,8,Mañana,Enero,Martes,Guatemala,Mixco,6,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
171,2023,10,15,Tarde,Enero,Martes,Escuintla,Escuintla,Ignorada,Cabezal,Otros,Gris,1980,1980-1989,Colisión,3
172,2023,10,21,Noche,Enero,Martes,Escuintla,Escuintla,Ignorada,Motocicleta,Haojue,Rojo,2022,2020-2029,Colisión,4
173,2023,10,20,Noche,Enero,Martes,Escuintla,Escuintla,Ignorada,Cabezal,Freightliner,Verde,1996,1990-1999,Vuelco,4
174,2023,10,20,Noche,Enero,Martes,San Marcos,Tejutla,Ignorada,Motocicleta,Bajaj,Gris,Ignorado,Ignorado,Derrape,4
175,2023,10,11,Mañana,Enero,Martes,Izabal,Puerto Barrios,Ignorada,Pick up,Toyota,Verde,Ignorado,Ignorado,Colisión,2
176,2023,10,20,Noche,Enero,Martes,Petén,San Luis,Ignorada,Camioneta,Toyota,Gris,Ignorado,Ignorado,Colisión,4
177,2023,10,11,Mañana,Enero,Martes,Chimaltenango,Patzicía,Ignorada,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
178,2023,10,19,Noche,Enero,Martes,Chimaltenango,Tecpán Guatemala,Ignorada,Cabezal,Freightliner,Azul,Ignorado,Ignorado,Choque,4
179,2023,10,0,Mañana,Enero,Martes,Sacatepequez,Santiago Sacatepéquez,Ignorada,Automóvil,Chevrolet,Blanco,Ignorado,Ignorado,Colisión,1
180,2023,11,8,Mañana,Enero,Miércoles,Guatemala,Guatemala,1,Automóvil,Volvo,Negro,2022,2020-2029,Colisión,2
181,2023,11,11,Mañana,Enero,Miércoles,Guatemala,Guatemala,1,Camioneta,Scion,Gris,2006,2000-2009,Colisión,2
182,2023,11,9,Mañana,Enero,Miércoles,Guatemala,Guatemala,2,Motocicleta,Bajaj,Negro,2022,2020-2029,Derrape,2
183,2023,11,20,Noche,Enero,Miércoles,Guatemala,Guatemala,13,Camioneta,Toyota,Café,1999,1990-1999,Colisión,4
184,2023,11,16,Tarde,Enero,Miércoles,Guatemala,Guatemala,12,Camión,Internacional,Amarillo,1985,1980-1989,Colisión,3
185,2023,11,15,Tarde,Enero,Miércoles,Guatemala,Villa Canales,Ignorada,Camión,Hyundai,Ignorado,Ignorado,Ignorado,Colisión,3
