Núm_corre,Año_ocu,Día_ocu,Hora_ocu,g_hora,g_hora_5,Mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
22,2020,1,2,1,1,1,3,9,903,99,1,999,16,12,18,9,1,4,999,1,9999,99,1
23,2020,1,17,3,2,1,3,16,1613,99,1,34,5,5,7,2,1,4,6,1,2008,4,1
24,2020,1,17,3,2,1,3,16,1613,99,1,999,16,12,18,9,1,14,999,99,9999,99,1
25,2020,1,0,1,1,1,3,18,1801,99,1,999,16,12,18,9,1,99,999,99,9999,99,1
26,2020,1,0,1,1,1,3,18,1801,99,1,20,3,3,5,9,1,4,999,99,9999,99,1
27,2020,1,9,2,1,1,3,14,1416,99,1,999,16,12,18,9,1,3,69,1,9999,99,3
28,2020,1,20,4,3,1,3,4,406,99,1,59,10,10,12,1,1,3,69,1,2008,4,1
29,2020,2,17,3,2,1,4,1,103,99,1,38,6,6,8,1,1,5,31,2,2012,5,1
30,2020,2,17,3,2,1,4,1,103,99,1,21,3,3,5,1,1,4,67,1,2006,4,1
31,2020,2,11,2,1,1,4,19,1903,99,1,41,7,7,9,1,1,2,69,5,2013,5,1
32,2020,2,11,2,1,1,4,19,1903,99,1,63,11,11,13,1,1,3,56,1,1989,2,1
33,2020,2,20,4,3,1,4,11,1109,99,1,44,7,7,9,1,1,3,999,1,9999,99,1
34,2020,2,20,4,3,1,4,11,1109,99,1,69,12,11,14,1,1,2,41,3,9999,99,1
35,2020,2,13,3,2,1,4,12,1227,99,1,35,6,6,8,2,1,2,31,4,1999,3,1
36,2020,2,19,4,3,1,4,3,301,99,1,65,12,11,14,1,1,2,52,4,2017,5,8
37,2020,3,15,3,2,1,5,1,101,1,1,58,10,10,12,9,1,4,6,15,2020,6,1
38,2020,3,15,3,2,1,5,1,101,1,1,17,2,2,4,9,2,4,6,15,2005,4,1
39,2020,3,21,4,3,1,5,1,101,6,1,29,4,4,6,9,1,1,56,2,2013,5,1
40,2020,3,21,4,3,1,5,1,101,6,1,21,3,3,5,9,1,4,76,1,9999,99,1
41,2020,3,13,3,2,1,5,1,101,6,1,999,16,12,18,9,1,9,999,99,9999,99,1
42,2020,3,13,3,2,1,5,1,101,6,1,38,6,6,8,9,1,4,999,99,9999,99,1
43,2020,3,2,1,1,1,5,1,108,99,1,999,16,12,18,9,1,1,999,99,9999,99,1
44,2020,3,2,1,1,1,5,1,108,99,1,30,5,5,7,9,1,4,3,5,2018,5,1
45,2020,3,20,4,3,1,5,1,108,99,1,35,6,6,8,9,1,12,30,2,1992,3,1
46,2020,3,20,4,3,1,5,1,108,99,1,50,9,9,11,9,1,2,48,2,1988,2,1
47,2020,3,20,4,3,1,5,1,108,99,1,31,5,5,7,9,1,4,6,99,9999,99,1
48,2020,3,23,4,3,1,5,1,101,19,1,40,7,7,9,9,1,4,6,5,9999,99,6
49,2020,3,17,3,2,1,5,15,1501,99,1,58,10,10,12,9,1,3,999,99,9999,99,1
50,2020,3,17,3,2,1,5,15,1501,99,1,21,3,3,5,9,1,4,999,99,9999,99,1
51,2020,4,15,3,2,1,6,11,1102,99,1,41,7,7,9,1,1,4,32,1,2019,5,1
52,2020,4,18,4,3,1,6,1,101,1,1,23,3,3,5,9,1,4,72,99,9999,99,1
53,2020,4,18,4,3,1,6,1,101,1,1,999,16,12,18,9,1,1,999,5,9999,99,1
54,2020,4,23,4,3,1,6,1,101,5,1,999,16,12,18,1,1,4,6,5,2019,5,1
55,2020,4,14,3,2,1,6,1,117,99,1,999,16,12,18,9,1,4,67,1,9999,99,1
56,2020,4,14,3,2,1,6,1,117,99,1,35,6,6,8,1,1,3,31,3,9999,99,1
57,2020,4,5,1,1,1,6,10,1001,99,1,34,5,5,7,1,1,4,6,1,9999,99,1
58,2020,4,15,3,2,1,6,11,1102,99,1,22,3,3,5,1,1,4,3,5,2007,4,1
59,2020,4,16,3,2,1,6,13,1301,99,1,15,2,2,4,9,2,4,54,3,9999,99,1
60,2020,4,16,3,2,1,6,13,1301,99,1,999,16,12,18,9,1,1,48,3,9999,99,1
61,2020,4,18,4,3,1,6,15,1501,99,1,19,2,2,4,9,1,1,48,5,2019,5,1
62,2020,4,18,4,3,1,6,15,1501,99,1,39,6,6,8,9,1,4,67,99,9999,99,1
63,2020,4,12,3,2,1,6,4,401,99,1,55,10,10,12,1,1,3,69,2,1980,2,1
64,2020,4,12,3,2,1,6,4,401,99,1,999,16,12,18,9,1,12,999,6,9999,99,1
65,2020,5,8,2,1,1,7,1,101,7,1,999,16,12,18,9,1,12,999,99,9999,99,1
66,2020,5,8,2,1,1,7,1,101,7,1,26,4,4,6,9,1,4,32,99,9999,99,1
67,2020,5,20,4,3,1,7,20,2001,99,1,36,6,6,8,9,1,4,6,5,9999,99,2
68,2020,5,20,4,3,1,7,9,901,99,1,999,16,12,18,9,1,9,69,2,9999,99,1
69,2020,5,20,4,3,1,7,9,901,99,1,38,6,6,8,9,1,3,999,99,9999,99,1
70,2020,5,1,1,1,1,7,2,207,99,1,40,7,7,9,1,1,1,999,2,9999,99,1
71,2020,5,1,1,1,1,7,2,207,99,1,45,8,8,10,1,1,6,19,2,9999,99,1
72,2020,5,3,1,1,1,7,18,1801,99,1,999,16,12,18,9,1,6,999,99,9999,99,1
73,2020,5,3,1,1,1,7,18,1801,99,1,19,2,2,4,9,1,4,999,99,9999,99,1
74,2020,5,15,3,2,1,7,17,1709,99,1,31,5,5,7,9,1,5,26,99,9999,99,1
75,2020,5,15,3,2,1,7,17,1709,99,1,999,16,12,18,9,1,4,67,3,9999,99,1
76,2020,5,19,4,3,1,7,14,1413,99,2,18,2,2,4,9,1,4,64,1,9999,99,1
77,2020,5,19,4,3,1,7,14,1413,99,1,36,6,6,8,9,1,4,6,1,9999,99,1
78,2020,5,13,3,2,1,7,3,302,99,1,38,6,6,8,9,1,5,52,2,1999,3,2
79,2020,6,20,4,3,1,1,1,101,8,1,37,6,6,8,9,1,12,999,1,1997,3,1
80,2020,6,20,4,3,1,1,1,101,8,1,45,8,8,10,9,1,4,27,5,2010,5,1
81,2020,6,16,3,2,1,1,1,101,3,1,999,16,12,18,9,1,11,999,99,9999,99,1
