Núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
58,2020,4,5,1,1,1,6,10,1001,99,2,23,3,3,5,1,4,6,1,9999,99,1,2,1
59,2020,4,5,1,1,1,6,10,1001,99,2,22,3,3,5,1,4,6,1,9999,99,1,2,1
60,2020,4,15,3,2,1,6,11,1102,99,1,41,7,7,9,1,4,32,1,2019,5,1,2,1
61,2020,4,15,3,2,1,6,11,1102,99,1,22,3,3,5,1,4,3,5,2007,4,1,2,1
62,2020,4,15,3,2,1,6,11,1102,99,2,999,16,12,18,1,4,32,1,2019,5,1,2,1
63,2020,4,16,3,2,1,6,13,1301,99,1,16,2,2,4,2,4,54,3,9999,99,1,2,1
64,2020,4,18,4,3,1,6,15,1501,99,1,39,6,6,8,1,4,67,99,9999,99,1,2,1
65,2020,4,12,3,2,1,6,4,401,99,1,55,10,10,12,1,3,69,2,1980,2,1,2,1
66,2020,4,12,3,2,1,6,4,401,99,2,44,7,7,9,1,3,69,2,1980,2,1,2,1
67,2020,5,8,2,1,1,7,1,101,7,1,26,4,4,6,1,4,32,99,9999,99,1,2,1
68,2020,5,20,4,3,1,7,20,2001,99,1,36,6,6,8,1,4,6,5,9999,99,2,2,1
69,2020,5,20,4,3,1,7,9,901,99,1,17,2,2,4,2,3,999,99,9999,99,1,2,1
70,2020,5,3,1,1,1,7,18,1801,99,1,19,2,2,4,1,4,999,99,9999,99,1,1,2
71,2020,5,15,3,2,1,7,17,1709,99,1,999,16,12,18,1,4,67,3,9999,99,1,1,2
72,2020,5,19,4,3,1,7,14,1413,99,2,26,4,4,6,1,4,6,1,9999,99,1,2,1
73,2020,5,19,4,3,1,7,14,1413,99,2,2,1,1,1,2,4,6,1,9999,99,1,2,1
74,2020,6,20,4,3,1,1,1,101,8,1,45,8,8,10,1,4,27,5,2010,5,1,2,1
75,2020,6,1,1,1,1,1,1,108,99,1,36,6,6,8,1,3,17,4,9999,99,2,2,1
76,2020,6,21,4,3,1,1,6,601,99,1,20,3,3,5,1,4,25,5,9999,99,1,2,1
77,2020,6,19,4,3,1,1,16,1602,99,1,23,3,3,5,1,4,76,99,9999,99,1,2,1
78,2020,6,19,4,3,1,1,16,1602,99,1,23,3,3,5,1,4,76,99,9999,99,1,2,1
79,2020,6,16,3,2,1,1,2,208,99,1,999,16,12,18,1,4,999,5,9999,99,1,2,1
80,2020,6,16,3,2,1,1,2,208,99,2,36,6,6,8,1,4,999,5,9999,99,1,2,1
81,2020,6,23,4,3,1,1,4,416,99,1,25,4,4,6,1,4,6,5,2019,5,1,2,1
82,2020,6,23,4,3,1,1,4,416,99,2,20,3,3,5,1,4,6,5,2019,5,1,2,1
83,2020,6,19,4,3,1,1,3,303,99,1,47,8,8,10,1,4,76,5,9999,99,1,2,1
84,2020,7,7,2,1,1,2,1,101,1,1,25,4,4,6,1,4,6,5,9999,99,1,2,1
85,2020,7,7,2,1,1,2,1,101,12,2,36,6,6,8,1,4,999,5,9999,99,1,2,1
86,2020,7,19,4,3,1,2,1,115,99,1,24,3,3,5,1,18,999,99,9999,99,1,2,1
87,2020,7,1,1,1,1,2,1,108,99,1,26,4,4,6,1,4,67,5,9999,99,1,2,1
88,2020,7,21,4,3,1,2,1,108,99,1,38,6,6,8,1,4,999,99,9999,99,4,1,2
89,2020,7,22,4,3,1,2,12,1222,99,1,23,3,3,5,1,14,6,1,9999,99,1,2,2
90,2020,8,15,3,2,1,3,1,101,1,1,99,15,11,17,1,1,48,2,1985,2,1,2,1
91,2020,8,5,1,1,1,3,1,101,18,1,23,3,3,5,1,4,67,5,9999,99,1,2,1
92,2020,8,9,2,1,1,3,1,101,7,1,22,3,3,5,1,4,6,5,9999,99,4,2,1
93,2020,8,20,4,3,1,3,1,110,99,1,20,3,3,5,1,4,2,5,2019,5,1,2,1
94,2020,8,9,2,1,1,3,21,2101,99,1,40,7,7,9,1,4,77,1,9999,99,1,2,1
95,2020,8,9,2,1,1,3,21,2101,99,1,10,1,1,3,2,4,77,1,9999,99,1,1,2
96,2020,8,9,2,1,1,3,21,2101,99,2,9,1,1,2,2,4,77,1,9999,99,1,2,1
97,2020,8,9,2,1,1,3,5,508,99,1,33,5,5,7,1,3,999,9,9999,99,1,1,2
98,2020,8,9,2,1,1,3,5,508,99,1,22,3,3,5,1,3,999,9,9999,99,1,1,2
99,2020,8,17,3,2,1,3,9,901,99,1,31,5,5,7,1,4,67,5,2014,5,2,2,1
100,2020,8,14,3,2,1,3,2,201,99,1,54,9,9,11,1,3,69,4,1994,3,1,1,2
101,2020,8,14,3,2,1,3,2,201,99,1,17,2,2,4,2,3,69,4,1994,3,1,2,1
102,2020,8,14,3,2,1,3,2,201,99,2,17,2,2,4,2,3,69,4,1994,3,1,2,1
103,2020,8,14,3,2,1,3,2,201,99,2,0,1,1,1,2,3,69,4,1994,3,1,2,1
104,2020,8,14,3,2,1,3,2,201,99,2,29,4,4,6,1,3,69,4,1994,3,1,2,1
105,2020,8,14,3,2,1,3,2,201,99,1,26,4,4,6,1,3,69,4,1994,3,1,2,1
106,2020,8,14,3,2,1,3,2,201,99,2,48,8,8,10,1,3,69,4,1994,3,1,2,1
107,2020,8,19,4,3,1,3,3,312,99,2,29,4,4,6,1,1,48,99,9999,99,2,2,1
108,2020,9,8,2,1,1,4,1,101,1,1,30,5,5,7,1,4,2,1,2015,5,1,2,1
109,2020,9,23,4,3,1,4,1,101,1,1,28,4,4,6,1,4,6,4,2015,5,1,2,1
110,2020,9,16,3,2,1,4,1,101,6,2,999,16,12,18,1,4,32,5,2012,5,1,2,2
111,2020,9,16,3,2,1,4,1,101,6,2,0,1,1,1,2,4,32,5,2012,5,1,2,1
112,2020,9,21,4,3,1,4,1,102,99,1,999,16,12,18,1,5,17,14,9999,99,1,2,1
113,2020,9,21,4,3,1,4,1,102,99,2,39,6,6,8,1,2,52,99,9999,99,1,2,1
114,2020,9,21,4,3,1,4,1,102,99,2,49,8,8,10,1,2,52,99,9999,99,1,2,1
115,2020,9,21,4,3,1,4,1,102,99,1,3,1,1,1,2,2,52,99,9999,99,1,2,1
116,2020,9,7,2,1,1,4,1,115,99,2,24,3,3,5,1,4,2,4,2019,5,1,2,2
117,2020,9,13,3,2,1,4,5,502,99,1,18,2,2,4,1,4,67,3,2018,5,1,2,2
118,2020,9,20,4,3,1,4,5,501,99,1,30,5,5,7,1,4,999,99,9999,99,1,1,2
119,2020,9,1,1,1,1,4,9,901,99,1,16,2,2,4,2,1,27,14,1997,3,1,2,1
120,2020,9,9,2,1,1,4,13,1326,99,1,26,4,4,6,1,14,6,1,9999,99,7,2,1
121,2020,9,9,2,1,1,4,13,1326,99,1,14,1,1,3,2,14,6,1,9999,99,7,2,1
122,2020,9,1,1,1,1,4,1,101,10,1,31,5,5,7,1,1,999,99,9999,99,2,2,2
