núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
555,2018,28,18,4,3,1,7,1010,10,99,1,25,4,4,6,1,4,27,1,9999,99,2,1,2
556,2018,28,18,4,3,1,7,1010,10,99,1,28,4,4,6,1,4,27,1,9999,99,2,2,1
557,2018,29,20,4,3,1,1,101,1,5,2,999,16,12,18,1,4,25,5,2017,5,1,2,1
558,2018,29,20,4,3,1,1,101,1,5,1,999,16,12,18,1,4,25,5,2017,5,1,2,1
559,2018,29,20,4,3,1,1,101,1,5,1,2,1,1,1,2,4,25,5,2017,5,1,2,1
560,2018,29,10,2,1,1,1,109,1,99,1,32,5,5,7,1,4,18,1,9999,99,1,2,1
561,2018,29,10,2,1,1,1,109,1,99,1,28,4,4,6,1,4,18,1,9999,99,1,2,1
562,2018,29,22,4,3,1,1,117,1,99,2,36,6,6,8,1,1,56,9,1993,3,1,2,1
563,2018,29,22,4,3,1,1,117,1,99,2,10,1,1,3,2,1,56,9,1993,3,1,2,1
564,2018,29,6,2,1,1,1,117,1,99,1,29,4,4,6,1,4,6,1,9999,99,1,1,2
565,2018,29,21,4,3,1,1,115,1,99,1,41,7,7,9,1,4,999,99,9999,99,1,2,1
566,2018,29,21,4,3,1,1,115,1,99,1,16,2,2,4,2,4,999,99,9999,99,1,2,1
567,2018,29,23,4,3,1,1,1905,19,99,1,27,4,4,6,1,5,56,2,9999,99,3,2,2
568,2018,29,23,4,3,1,1,1905,19,99,2,20,3,3,5,1,5,56,2,9999,99,3,2,1
569,2018,29,5,1,1,1,1,511,5,99,1,29,4,4,6,1,9,15,6,1994,3,1,2,2
570,2018,29,6,2,1,1,1,502,5,99,1,19,2,2,4,1,10,73,5,9999,99,2,1,2
571,2018,29,19,4,3,1,1,613,6,99,1,43,7,7,9,1,11,10,2,9999,99,1,2,1
572,2018,29,19,4,3,1,1,602,6,99,1,24,3,3,5,1,4,999,5,9999,99,1,2,2
573,2018,29,19,4,3,1,1,602,6,99,2,19,2,2,4,1,4,999,5,9999,99,1,2,2
574,2018,29,21,4,3,1,1,1601,16,99,1,28,4,4,6,1,2,27,2,2010,5,1,2,1
575,2018,29,21,4,3,1,1,1601,16,99,1,27,4,4,6,1,3,69,5,2007,4,1,2,1
576,2018,29,21,4,3,1,1,1601,16,99,1,29,4,4,6,1,3,69,5,2007,4,1,2,1
577,2018,29,21,4,3,1,1,1601,16,99,1,21,3,3,5,1,3,69,5,2007,4,1,2,1
578,2018,29,19,4,3,1,1,706,7,99,2,50,9,9,11,1,1,69,2,1986,2,1,2,1
579,2018,29,19,4,3,1,1,706,7,99,1,89,15,11,17,1,1,69,2,1986,2,1,2,1
580,2018,29,7,2,1,1,1,303,3,99,2,32,5,5,7,1,1,48,5,2002,4,1,2,1
581,2018,29,17,3,2,1,1,312,3,99,1,29,4,4,6,1,4,27,1,2017,5,1,2,1
582,2018,30,19,4,3,1,2,101,1,5,1,25,4,4,6,1,2,48,4,9999,99,1,2,2
583,2018,30,19,4,3,1,2,101,1,5,1,38,6,6,8,1,1,69,2,9999,99,1,2,2
584,2018,30,20,4,3,1,2,511,5,99,1,50,9,9,11,1,4,53,3,2007,4,1,2,1
585,2018,30,14,3,2,1,2,1614,16,99,1,61,11,11,13,1,5,999,2,9999,99,7,1,2
586,2018,30,14,3,2,1,2,1614,16,99,2,55,10,10,12,1,5,999,2,9999,99,7,1,2
587,2018,30,13,3,2,1,2,1416,14,99,1,23,3,3,5,1,4,6,5,9999,99,1,2,1
588,2018,30,10,2,1,1,2,701,7,99,2,44,7,7,9,1,2,138,4,9999,99,2,2,2
589,2018,30,10,2,1,1,2,701,7,99,2,55,10,10,12,1,2,138,4,9999,99,2,2,2
590,2018,30,10,2,1,1,2,701,7,99,2,38,6,6,8,1,2,138,4,9999,99,2,2,2
591,2018,30,10,2,1,1,2,701,7,99,1,62,11,11,13,1,2,138,4,9999,99,2,2,1
592,2018,30,11,2,1,1,2,709,7,99,1,40,7,7,9,1,4,27,1,2013,5,1,2,1
593,2018,30,16,3,2,1,2,416,4,99,1,39,6,6,8,1,4,6,5,2016,5,1,2,1
594,2018,30,16,3,2,1,2,416,4,99,1,32,5,5,7,1,4,6,5,2016,5,1,2,1
595,2018,30,21,4,3,1,2,301,3,99,1,43,7,7,9,1,1,69,4,9999,99,1,2,1
596,2018,30,21,4,3,1,2,301,3,99,1,31,5,5,7,1,1,28,2,2002,4,1,2,1
597,2018,31,11,2,1,1,3,103,1,99,2,999,16,12,18,1,4,76,1,2002,4,1,2,1
598,2018,31,21,4,3,1,3,101,1,6,2,19,2,2,4,1,4,18,1,9999,99,1,2,1
599,2018,31,14,3,2,1,3,101,1,16,2,15,2,2,4,2,4,6,1,9999,99,1,2,1
600,2018,31,17,3,2,1,3,109,1,99,1,26,4,4,6,1,4,999,99,9999,99,2,2,1
601,2018,31,14,3,2,1,3,117,1,99,1,30,5,5,7,1,4,6,5,2012,5,1,2,1
602,2018,31,14,3,2,1,3,117,1,99,1,17,2,2,4,2,4,32,4,2012,5,1,2,1
603,2018,31,7,2,1,1,3,113,1,99,2,19,2,2,4,1,4,999,99,9999,99,1,2,1
604,2018,31,12,3,2,1,3,501,5,99,1,26,4,4,6,1,4,54,5,2017,5,1,2,1
605,2018,31,14,3,2,1,3,602,6,99,1,29,4,4,6,1,4,27,2,9999,99,1,2,1
606,2018,31,17,3,2,1,3,1010,10,99,1,24,3,3,5,1,4,67,1,2013,5,1,2,1
607,2018,31,17,3,2,1,3,1010,10,99,2,34,5,5,7,1,4,67,1,2013,5,1,2,1
608,2018,31,17,3,2,1,3,1010,10,99,1,41,7,7,9,1,4,27,1,2016,5,1,2,1
609,2018,31,17,3,2,1,3,1010,10,99,2,999,16,12,18,1,4,27,1,2016,5,1,2,1
610,2018,31,15,3,2,1,3,201,2,99,1,999,16,12,18,1,1,48,4,1999,3,1,2,1
611,2018,31,16,3,2,1,3,1701,17,99,1,25,4,4,6,1,4,27,2,2006,4,1,2,2
612,2018,1,2,1,1,1,1,502,5,99,1,18,2,2,4,1,3,999,5,9999,99,5,1,2
613,2018,1,2,1,1,1,1,502,5,99,1,16,2,2,4,2,3,999,5,9999,99,5,2,1
614,2018,2,14,3,2,1,2,1801,18,99,1,17,2,2,4,2,4,76,2,9999,99,5,1,2
615,2018,2,14,3,2,1,2,1805,18,99,1,59,10,10,12,1,11,17,2,9999,99,5,2,1
616,2018,2,17,3,2,1,2,1902,19,99,1,8,1,1,2,2,4,999,5,9999,99,5,2,1
617,2018,2,6,2,1,1,2,1712,17,99,1,45,8,8,10,1,99,999,99,9999,99,5,1,2
618,2018,2,0,1,1,1,2,1319,13,99,1,25,4,4,6,1,5,31,6,9999,99,5,2,1
619,2018,2,0,1,1,1,2,1319,13,99,1,16,2,2,4,2,5,31,6,9999,99,5,2,1
620,2018,3,8,2,1,1,3,101,1,17,1,60,11,11,13,1,4,999,6,9999,99,5,2,1
621,2018,3,3,1,1,1,3,1020,10,99,1,18,2,2,4,1,3,31,9,9999,99,5,2,1
622,2018,4,10,2,1,1,4,101,1,5,1,85,15,11,17,1,4,27,5,2018,5,5,2,1
623,2018,4,1,1,1,1,4,109,1,99,1,999,16,12,18,1,99,999,99,9999,99,5,1,2
624,2018,4,17,3,2,1,4,113,1,99,2,999,16,12,18,1,1,41,9,9999,99,5,2,1
625,2018,4,17,3,2,1,4,113,1,99,2,999,16,12,18,1,1,41,9,9999,99,5,2,1
626,2018,4,10,2,1,1,4,117,1,99,1,15,2,2,4,2,99,999,99,9999,99,5,2,1
627,2018,4,18,4,3,1,4,2201,22,99,1,999,16,12,18,1,99,999,99,9999,99,5,2,2
628,2018,4,16,3,2,1,4,507,5,99,1,19,2,2,4,1,12,999,7,9999,99,5,2,1
