﻿núm_corre,año_ocu,día_ocu,hora_ocu,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,g_hora
1,2022,1,4,Mañana,Enero,Sabado,Guatemala,Guatemala,9,Hombre,27,25-29,25-29,25 - 29,Ebrio,Mayor,Automóvil,Honda,Azul,Ignorado,Ignorado,Colisión,1
2,2022,1,4,Mañana,Enero,Sabado,Guatemala,Guatemala,9,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Mazda,Celeste,2007,2000-2009,Colisión,1
3,2022,1,4,Mañana,Enero,Sabado,Guatemala,Guatemala,9,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Nissan,Blanco,Ignorado,Ignorado,Colisión,1
4,2022,1,11,Mañana,Enero,Sabado,Guatemala,San José Pinula,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
5,2022,1,1,Mañana,Enero,Sabado,Guatemala,Guatemala,7,Hombre,26,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Mitsubishi,Amarillo,2002,2000-2009,Choque,1
6,2022,1,7,Mañana,Enero,Sabado,Guatemala,Guatemala,7,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
7,2022,1,7,Mañana,Enero,Sabado,Guatemala,Guatemala,7,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
8,2022,1,5,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape,1
9,2022,1,5,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Yamaha,Blanco,Ignorado,Ignorado,Derrape,1
10,2022,1,21,Noche,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Ford,Verde,1998,1990-1999,Derrape,4
