﻿núm_corre,año_ocu,día_ocu,hora_ocu,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,g_hora
11,2022,1,0,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Mujer,19,15-19,15-19,15 - 19,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,1
12,2022,1,0,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,1
13,2022,1,13,Tarde,Enero,Sabado,Guatemala,Mixco,1,Hombre,50,50-54,50-54,50 - 54,Ignorado,Mayor,Automóvil,Hyundai,Negro,2002,2000-2009,Choque,3
14,2022,1,19,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Hombre,58,55-59,55-59,55 - 59,Ebrio,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,4
15,2022,1,19,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,4
16,2022,1,8,Mañana,Enero,Sabado,Jutiapa,Asunción Mita,Ignorado,Hombre,36,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Freedom,Blanco,Ignorado,Ignorado,Choque,2
17,2022,1,0,Mañana,Enero,Sabado,Jalapa,San Manuel Chaparrón,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Italika,Negro,Ignorado,Ignorado,Choque,1
18,2022,1,22,Noche,Enero,Sabado,Zacapa,Zacapa,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,4
19,2022,1,21,Noche,Enero,Sabado,Escuintla,Palín,Ignorado,Hombre,19,15-19,15-19,15 - 19,Ignorado,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión,4
20,2022,1,21,Noche,Enero,Sabado,Escuintla,Palín,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Yamaha,Rojo,Ignorado,Ignorado,Colisión,4
21,2022,1,8,Mañana,Enero,Sabado,Escuintla,Escuintla,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
22,2022,1,8,Mañana,Enero,Sabado,Escuintla,Escuintla,Ignorado,Hombre,50,50-54,50-54,50 - 54,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
23,2022,1,9,Mañana,Enero,Sabado,Suchitepéquez,Mazatenango,Ignorado,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Mazda,Gris,Ignorado,Ignorado,Derrape,2
24,2022,1,19,Noche,Enero,Sabado,Retalhuleu,San Sebastián,Ignorado,Hombre,45,45-49,45-49,45 - 49,Ignorado,Mayor,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,4
25,2022,1,19,Noche,Enero,Sabado,Retalhuleu,San Sebastián,Ignorado,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,4
26,2022,1,21,Noche,Enero,Sabado,Quetzaltenango,Quetzaltenango,Ignorado,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Camioneta,Mazda,Negro,Ignorado,Ignorado,Vuelco,4
27,2022,1,23,Noche,Enero,Sabado,Alta Verapaz,Santa Catalina La Tinta,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ebrio,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape,4
28,2022,1,3,Mañana,Enero,Sabado,El Progreso,El Jícaro,Ignorado,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Camión,Isuzu,Blanco,Ignorado,Ignorado,Colisión,1
29,2022,1,3,Mañana,Enero,Sabado,El Progreso,El Jícaro,Ignorado,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,1
30,2022,1,0,Mañana,Enero,Sabado,El Progreso,Sanarate,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Automóvil,Ignorado,Verde,Ignorado,Ignorado,Choque,1
31,2022,1,15,Tarde,Enero,Sabado,Petén,San Andrés,Ignorado,Hombre,39,35-39,35-39,35 - 39,Ebrio,Mayor,Automóvil,Ignorado,Azul,Ignorado,Ignorado,Choque,3
32,2022,1,15,Tarde,Enero,Sabado,Petén,San Andrés,Ignorado,Hombre,20,20-24,20-24,20 - 24,No Ebrio,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,3
33,2022,1,12,Tarde,Enero,Sabado,Sololá,Sololá,Ignorado,Hombre,50,50-54,50-54,50 - 54,Ignorado,Mayor,Pick up,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,3
34,2022,1,15,Tarde,Enero,Sabado,Chimaltenango,Tecpán Guatemala,Ignorado,Hombre,9,Menor de 15,Menor de 15,5 - 9,Ignorado,Menor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,3
35,2022,1,8,Mañana,Enero,Sabado,Sacatepéquez,San Miguel Dueñas,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Choque,2
36,2022,2,15,Tarde,Enero,Domingo,Guatemala,Guatemala,1,Hombre,63,60-64,60 y más,60 - 64,No Ebrio,Mayor,Bus urbano,Otros,Azul,2001,2000-2009,Colisión,3
37,2022,2,15,Tarde,Enero,Domingo,Guatemala,Guatemala,1,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,No Ebrio,Ignorado,Camioneta,Hyundai,Gris,2017,2010-2019,Colisión,3
38,2022,2,15,Tarde,Enero,Domingo,Guatemala,Guatemala,1,Mujer,38,35-39,35-39,35 - 39,No Ebrio,Mayor,Motocicleta,Serpento,Blanco,Ignorado,Ignorado,Colisión,3
39,2022,2,12,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Hombre,38,35-39,35-39,35 - 39,Ebrio,Mayor,Automóvil,Mitsubishi,Gris,2014,2010-2019,Colisión,3
40,2022,2,12,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,No Ebrio,Ignorado,Automóvil,Kia,Blanco,2016,2010-2019,Colisión,3
41,2022,2,0,Mañana,Enero,Domingo,Guatemala,Guatemala,7,Hombre,45,45-49,45-49,45 - 49,Ignorado,Mayor,Motocicleta,Italika,Ignorado,2016,2010-2019,Derrape,1
42,2022,2,18,Noche,Enero,Domingo,Guatemala,Petapa,7,Hombre,62,60-64,60 y más,60 - 64,No Ebrio,Mayor,Camioneta,Chevrolet,Gris,2007,2000-2009,Colisión,4
43,2022,2,18,Noche,Enero,Domingo,Guatemala,Petapa,7,Mujer,24,20-24,20-24,20 - 24,No Ebrio,Mayor,Pick up,Toyota,Amarillo,Ignorado,Ignorado,Colisión,4
44,2022,2,18,Noche,Enero,Domingo,Guatemala,Petapa,7,Hombre,32,30-34,30-34,30 - 34,No Ebrio,Mayor,Camioneta,Chevrolet,Azul,2012,2010-2019,Colisión,4
45,2022,2,21,Noche,Enero,Domingo,Guatemala,Villa Canales,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,No Ebrio,Ignorado,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Colisión,4
46,2022,2,21,Noche,Enero,Domingo,Guatemala,Villa Canales,Ignorado,Hombre,23,20-24,20-24,20 - 24,No Ebrio,Mayor,Automóvil,Nissan,Azul,Ignorado,Ignorado,Colisión,4
47,2022,2,1,Mañana,Enero,Domingo,Guatemala,Villa Nueva,1,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,1
48,2022,2,1,Mañana,Enero,Domingo,Guatemala,Villa Nueva,1,Mujer,34,30-34,30-34,30 - 34,No Ebrio,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,1
49,2022,2,19,Noche,Enero,Domingo,Guatemala,Mixco,6,Hombre,23,20-24,20-24,20 - 24,Ebrio,Mayor,Motocicleta,Ignorado,Ignorado,2022,2020-2029,Derrape,4
50,2022,2,11,Mañana,Enero,Domingo,Guatemala,Mixco,1,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Nissan,Gris,Ignorado,Ignorado,Colisión,2
51,2022,2,11,Mañana,Enero,Domingo,Guatemala,Mixco,1,Hombre,25,25-29,25-29,25 - 29,No Ebrio,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
52,2022,2,16,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Hombre,31,30-34,30-34,30 - 34,No Ebrio,Mayor,Bus urbano,Internacional,Azul,Ignorado,Ignorado,Colisión,3
53,2022,2,16,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Camioneta,Hyundai,Azul,Ignorado,Ignorado,Colisión,3
54,2022,2,20,Noche,Enero,Domingo,Escuintla,La Democracia,Ignorado,Mujer,16,15-19,15-19,15 - 19,Ignorado,Menor,Motocicleta,Bajaj,Negro,2015,2010-2019,Colisión,4
55,2022,2,20,Noche,Enero,Domingo,Escuintla,La Democracia,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Benelli,Rojo,2018,2010-2019,Colisión,4
56,2022,2,19,Noche,Enero,Domingo,Escuintla,Escuintla,Ignorado,Hombre,30,30-34,30-34,30 - 34,No Ebrio,Mayor,Bus urbano,Internacional,Turquesa,Ignorado,Ignorado,Derrape,4
57,2022,2,11,Mañana,Enero,Domingo,Santa Rosa,Pueblo Nuevo Viñas,Ignorado,Hombre,54,50-54,50-54,50 - 54,No Ebrio,Mayor,Automóvil,Honda,Negro,2010,2010-2019,Colisión,2
58,2022,2,11,Mañana,Enero,Domingo,Santa Rosa,Pueblo Nuevo Viñas,Ignorado,Hombre,21,20-24,20-24,20 - 24,No Ebrio,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Colisión,2
59,2022,2,19,Noche,Enero,Domingo,Retalhuleu,Nuevo San Carlos,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ebrio,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión,4
60,2022,2,19,Noche,Enero,Domingo,Retalhuleu,Nuevo San Carlos,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ebrio,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,4
61,2022,2,22,Noche,Enero,Domingo,Quetzaltenango,Coatepeque,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,4
62,2022,2,22,Noche,Enero,Domingo,Quetzaltenango,Coatepeque,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,4
63,2022,2,4,Mañana,Enero,Domingo,Izabal,Puerto Barrios,Ignorado,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Derrape,1
64,2022,2,19,Noche,Enero,Domingo,Izabal,El Estor,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,4
65,2022,2,19,Noche,Enero,Domingo,Izabal,El Estor,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Microbús,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,4
66,2022,2,11,Mañana,Enero,Domingo,Izabal,El Estor,Ignorado,Hombre,37,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Colisión,2
67,2022,2,10,Mañana,Enero,Domingo,Chimaltenango,Patzicía,Ignorado,Hombre,19,15-19,15-19,15 - 19,Ignorado,Mayor,Motocicleta,Yamaha,Negro,2005,2000-2009,Colisión,2
68,2022,2,10,Mañana,Enero,Domingo,Chimaltenango,Patzicía,Ignorado,Hombre,19,15-19,15-19,15 - 19,No Ebrio,Mayor,Motocicleta,Italika,Ignorado,Ignorado,Ignorado,Colisión,2
69,2022,2,16,Tarde,Enero,Domingo,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,44,40-44,40-44,40 - 44,No Ebrio,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
70,2022,2,16,Tarde,Enero,Domingo,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,17,15-19,15-19,15 - 19,No Ebrio,Menor,Motocicleta,TVS Apache,Rojo,2022,2020-2029,Colisión,3
71,2022,3,17,Tarde,Enero,Lunes,Guatemala,Guatemala,13,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Hyundai,Corinto,2006,2000-2009,Colisión,3
72,2022,3,17,Tarde,Enero,Lunes,Guatemala,Guatemala,13,Hombre,28,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Bajaj,Blanco,Ignorado,Ignorado,Colisión,3
73,2022,3,22,Noche,Enero,Lunes,Escuintla,La Gomera,Ignorado,Hombre,18,15-19,15-19,15 - 19,Ebrio,Mayor,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Colisión,4
74,2022,3,22,Noche,Enero,Lunes,Escuintla,La Gomera,Ignorado,Mujer,34,30-34,30-34,30 - 34,No Ebrio,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Colisión,4
75,2022,3,13,Tarde,Enero,Lunes,Santa Rosa,Cuilapa,Ignorado,Hombre,49,45-49,45-49,45 - 49,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
76,2022,3,13,Tarde,Enero,Lunes,Santa Rosa,Cuilapa,Ignorado,Mujer,19,15-19,15-19,15 - 19,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
77,2022,3,13,Tarde,Enero,Lunes,Santa Rosa,Cuilapa,Ignorado,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
78,2022,3,5,Mañana,Enero,Lunes,Retalhuleu,Retalhuleu,Ignorado,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Derrape,1
79,2022,3,9,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorado,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Volkswagen,Gris,Ignorado,Ignorado,Choque,2
80,2022,3,9,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Cabezal,Ignorado,Ignorado,Ignorado,Ignorado,Choque,2
81,2022,3,15,Tarde,Enero,Lunes,San Marcos,San Rafael Pie de la Cuesta,Ignorado,Hombre,47,45-49,45-49,45 - 49,No Ebrio,Mayor,Pick up,Toyota,Azul,2006,2000-2009,Colisión,3
82,2022,3,15,Tarde,Enero,Lunes,San Marcos,San Rafael Pie de la Cuesta,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,No Ebrio,Ignorado,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
83,2022,3,6,Mañana,Enero,Lunes,San Marcos,Ayutla,Ignorado,Hombre,49,45-49,45-49,45 - 49,Ignorado,Mayor,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape,2
84,2022,3,7,Mañana,Enero,Lunes,Totonicapán,Totonicapán,Ignorado,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,2
85,2022,3,1,Mañana,Enero,Lunes,Baja Verapaz,Salamá,Ignorado,Hombre,33,30-34,30-34,30 - 34,Ebrio,Mayor,Motocicleta,Honda,Rojo,Ignorado,Ignorado,Derrape,1
86,2022,3,15,Tarde,Enero,Lunes,El Progreso,San Cristóbal Acasaguastlán,Ignorado,Hombre,24,20-24,20-24,20 - 24,No Ebrio,Mayor,Camión,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
87,2022,3,15,Tarde,Enero,Lunes,El Progreso,San Cristóbal Acasaguastlán,Ignorado,Hombre,23,20-24,20-24,20 - 24,No Ebrio,Mayor,Bus urbano,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
88,2022,3,23,Noche,Enero,Lunes,El Progreso,Morazán,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Derrape,4
89,2022,3,8,Mañana,Enero,Lunes,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,43,40-44,40-44,40 - 44,No Ebrio,Mayor,Automóvil,Toyota,Ignorado,Ignorado,Ignorado,Colisión,2
90,2022,3,8,Mañana,Enero,Lunes,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,No Ebrio,Ignorado,Motocicleta,Honda,Amarillo,2020,2020-2029,Colisión,2
91,2022,3,9,Mañana,Enero,Lunes,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,32,30-34,30-34,30 - 34,No Ebrio,Mayor,Automóvil,Honda,Gris,2006,2000-2009,Derrape,2
92,2022,4,8,Mañana,Enero,Martes,Guatemala,Guatemala,9,Hombre,57,55-59,55-59,55 - 59,No Ebrio,Mayor,Automóvil,Hero Hunk,Blanco,2015,2010-2019,Colisión,2
93,2022,4,8,Mañana,Enero,Martes,Guatemala,Guatemala,9,Mujer,33,30-34,30-34,30 - 34,No Ebrio,Mayor,Motocicleta,Hero Hunk,Negro,2019,2010-2019,Colisión,2
94,2022,4,15,Tarde,Enero,Martes,Guatemala,Guatemala,1,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape,3
95,2022,4,7,Mañana,Enero,Martes,Guatemala,Villa Canales,2,Hombre,19,15-19,15-19,15 - 19,No Ebrio,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
96,2022,4,7,Mañana,Enero,Martes,Guatemala,Villa Canales,2,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
97,2022,4,9,Mañana,Enero,Martes,Guatemala,Villa Canales,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,No Ebrio,Ignorado,Microbús,Toyota,Gris,Ignorado,Ignorado,Colisión,2
98,2022,4,9,Mañana,Enero,Martes,Guatemala,Villa Canales,Ignorado,Hombre,35,35-39,35-39,35 - 39,No Ebrio,Mayor,Motocicleta,Wuyang,Rojo,Ignorado,Ignorado,Colisión,2
99,2022,4,18,Noche,Enero,Martes,Retalhuleu,Retalhuleu,Ignorado,Hombre,51,50-54,50-54,50 - 54,No Ebrio,Mayor,Pick up,Toyota,Corinto,Ignorado,Ignorado,Colisión,4
100,2022,4,18,Noche,Enero,Martes,Retalhuleu,Retalhuleu,Ignorado,Hombre,26,25-29,25-29,25 - 29,No Ebrio,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Colisión,4
101,2022,4,16,Tarde,Enero,Martes,Baja Verapaz,Salamá,Ignorado,Hombre,58,55-59,55-59,55 - 59,No Ebrio,Mayor,Camioneta,Toyota,Ignorado,Ignorado,Ignorado,Colisión,3
102,2022,4,16,Tarde,Enero,Martes,Baja Verapaz,Salamá,Ignorado,Hombre,24,20-24,20-24,20 - 24,No Ebrio,Mayor,Motocicleta,Suzuki,Ignorado,Ignorado,Ignorado,Colisión,3
103,2022,4,5,Mañana,Enero,Martes,Chimaltenango,San Martín Jilotepeque,Ignorado,Hombre,32,30-34,30-34,30 - 34,Ebrio,Mayor,Camioneta,Mercedes Benz,Celeste,2013,2010-2019,Choque,1
104,2022,4,10,Mañana,Enero,Martes,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,21,20-24,20-24,20 - 24,No Ebrio,Mayor,Motocicleta,MRT,Verde,2019,2010-2019,Colisión,2
105,2022,5,21,Noche,Enero,Miercoles,Guatemala,Guatemala,13,Hombre,36,35-39,35-39,35 - 39,Ignorado,Mayor,Automóvil,Kia,Rojo,2017,2010-2019,Colisión,4
106,2022,5,21,Noche,Enero,Miercoles,Guatemala,Guatemala,13,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Suzuki,Gris,2020,2020-2029,Colisión,4
107,2022,5,12,Tarde,Enero,Miercoles,Guatemala,Villa Nueva,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
108,2022,5,12,Tarde,Enero,Miercoles,Guatemala,Amatitlán,Ignorado,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,3
109,2022,5,12,Tarde,Enero,Miercoles,Guatemala,Villa Nueva,Ignorado,Hombre,58,55-59,55-59,55 - 59,No Ebrio,Mayor,Camión,Hyundai,Azul,Ignorado,Ignorado,Choque,3
110,2022,5,19,Noche,Enero,Miercoles,Jutiapa,El Progreso,Ignorado,Hombre,18,15-19,15-19,15 - 19,No Ebrio,Mayor,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,Colisión,4
111,2022,5,19,Noche,Enero,Miercoles,Jutiapa,El Progreso,Ignorado,Hombre,14,Menor de 15,Menor de 15,10 - 14,No Ebrio,Menor,Motocicleta,Ignorado,Blanco,Ignorado,Ignorado,Colisión,4
112,2022,5,14,Tarde,Enero,Miercoles,Escuintla,Santa Lucía Cotzumalguapa,Ignorado,Hombre,41,40-44,40-44,40 - 44,No Ebrio,Mayor,Cabezal,Freightliner,Café,1996,1990-1999,Colisión,3
113,2022,5,14,Tarde,Enero,Miercoles,Escuintla,Santa Lucía Cotzumalguapa,Ignorado,Hombre,28,25-29,25-29,25 - 29,No Ebrio,Mayor,Camión,Internacional,Blanco,Ignorado,Ignorado,Colisión,3
114,2022,5,20,Noche,Enero,Miercoles,Escuintla,Escuintla,Ignorado,Hombre,26,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Haojue,Negro,Ignorado,Ignorado,Choque,4
115,2022,5,15,Tarde,Enero,Miercoles,Santa Rosa,Barberena,Ignorado,Hombre,28,25-29,25-29,25 - 29,Ignorado,Mayor,Camión,Isuzu,Blanco,Ignorado,Ignorado,Colisión,3
116,2022,5,15,Tarde,Enero,Miercoles,Santa Rosa,Barberena,Ignorado,Hombre,33,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,Colisión,3
117,2022,5,17,Tarde,Enero,Miercoles,Suchitepéquez,Mazatenango,Ignorado,Hombre,47,45-49,45-49,45 - 49,Ignorado,Mayor,Cabezal,Freightliner,Rojo,2012,2010-2019,Colisión,3
118,2022,5,17,Tarde,Enero,Miercoles,Suchitepéquez,Mazatenango,Ignorado,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Colisión,3
119,2022,5,0,Mañana,Enero,Miercoles,Quetzaltenango,Salcajá,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ebrio,Mayor,Pick up,Mazda,Gris,Ignorado,Ignorado,Colisión,1
120,2022,5,0,Mañana,Enero,Miercoles,Quetzaltenango,Salcajá,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Toyota,Ignorado,Ignorado,Ignorado,Colisión,1
121,2022,5,6,Mañana,Enero,Miercoles,Quetzaltenango,Quetzaltenango,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Cabezal,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2
122,2022,5,6,Mañana,Enero,Miercoles,Quetzaltenango,Quetzaltenango,Ignorado,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Ignorado,Ignorado,Ignorado,Colisión,2
