﻿﻿num_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint,tipo_eve_cod
11,2022,1,0,00:00 a 05:59,Mañana,1,Sabado,Guatemala,Villa Nueva,Ignorado,Mujer,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
12,2022,1,13,12:00 a 17:59,Tarde,1,Sabado,Guatemala,Mixco,1,Mujer,45,45-49,45-49,45 - 49,Mayor,Automóvil,Hyundai,Negro,2002,2000-2009,2,Lesionado,Internado,2
13,2022,1,13,12:00 a 17:59,Tarde,1,Sabado,Guatemala,Mixco,1,Mujer,40,40-44,40-44,40 - 44,Mayor,Automóvil,Hyundai,Negro,2002,2000-2009,2,Lesionado,Internado,2
14,2022,1,13,12:00 a 17:59,Tarde,1,Sabado,Guatemala,Mixco,1,Hombre,20,20-24,20-24,20 - 24,Mayor,Automóvil,Hyundai,Negro,2002,2000-2009,2,Lesionado,Internado,2
15,2022,1,13,12:00 a 17:59,Tarde,1,Sabado,Guatemala,Mixco,1,Mujer,5,Menor de 15,Menor de 15,5 - 9,Menor,Automóvil,Hyundai,Negro,2002,2000-2009,2,Lesionado,Internado,2
16,2022,1,19,18:00 a 23:59,Noche,1,Sabado,Jutiapa,Agua Blanca,Ignorado,Hombre,23,20-24,20-24,20 - 24,Mayor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,3,Lesionado,Internado,3
17,2022,1,19,18:00 a 23:59,Noche,1,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,42,40-44,40-44,40 - 44,Mayor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,3,Fallecido,Internado,3
18,2022,1,19,18:00 a 23:59,Noche,1,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,3,Lesionado,Internado,3
19,2022,1,19,18:00 a 23:59,Noche,1,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,3,Lesionado,Internado,3
20,2022,1,19,18:00 a 23:59,Noche,1,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,3,Lesionado,Internado,3
21,2022,1,8,06:00 a 11:59,Mañana,1,Sabado,Jutiapa,Asunción Mita,Ignorado,Hombre,36,35-39,35-39,35 - 39,Mayor,Motocicleta,Freedom,Blanco,Ignorado,Ignorado,2,Fallecido,No internado,2
22,2022,1,0,00:00 a 05:59,Mañana,1,Sabado,Jalapa,San Manuel Chaparrón,Ignorado,Hombre,15,15-19,15-19,15 - 19,Menor,Motocicleta,Italika,Negro,Ignorado,Ignorado,2,Lesionado,Internado,2
23,2022,1,22,18:00 a 23:59,Noche,1,Sabado,Zacapa,Zacapa,Ignorado,Hombre,25,25-29,25-29,25 - 29,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,3,Fallecido,No internado,3
24,2022,1,21,18:00 a 23:59,Noche,1,Sabado,Escuintla,Palín,Ignorado,Hombre,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,1,Lesionado,Internado,1
25,2022,1,8,06:00 a 11:59,Mañana,1,Sabado,Escuintla,Escuintla,Ignorado,Hombre,50,50-54,50-54,50 - 54,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
26,2022,1,9,06:00 a 11:59,Mañana,1,Sabado,Suchitepéquez,Mazatenango,Ignorado,Hombre,27,25-29,25-29,25 - 29,Mayor,Automóvil,Mazda,Gris,Ignorado,Ignorado,6,Lesionado,Internado,6
27,2022,1,19,18:00 a 23:59,Noche,1,Sabado,Retalhuleu,San Sebastián,Ignorado,Hombre,42,40-44,40-44,40 - 44,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
28,2022,1,21,18:00 a 23:59,Noche,1,Sabado,Quetzaltenango,Quetzaltenango,Ignorado,Hombre,20,20-24,20-24,20 - 24,Mayor,Camioneta,Mazda,Negro,Ignorado,Ignorado,3,Fallecido,No internado,3
29,2022,1,23,18:00 a 23:59,Noche,1,Sabado,Alta Verapaz,Santa Catalina La Tinta,Ignorado,Hombre,25,25-29,25-29,25 - 29,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,6,Lesionado,Internado,6
30,2022,1,3,00:00 a 05:59,Mañana,1,Sabado,El Progreso,El Jícaro,Ignorado,Hombre,24,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
31,2022,1,0,00:00 a 05:59,Mañana,1,Sabado,El Progreso,Sanarate,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Automóvil,Ignorado,Verde,Ignorado,Ignorado,2,Fallecido,No internado,2
32,2022,1,15,12:00 a 17:59,Tarde,1,Sabado,Petén,San Andrés,Ignorado,Hombre,20,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,2,Fallecido,No internado,2
33,2022,1,15,12:00 a 17:59,Tarde,1,Sabado,Petén,San Andrés,Ignorado,Hombre,15,15-19,15-19,15 - 19,Menor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,2,Lesionado,Internado,2
